"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"11",11,"RESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","TORIPALIMAB","UNK","I, II","First Line","Pathological response rate","NCT03867370","Trials include other cancer ( Intrahepatic Cholangiocarcinoma. Patients cannot have Patients known to have fibrous layer HCC, sarcomatoid HCC. Must be eligible for resection","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03867370","DB15043","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"12",12,"HEPATOBILIARY NEOPLASM (IV)","absent","NA","NA","NA","AXITINIB, TORIPALIMAB","VEGFR, PD1","II","Advanced, Second Line","objective response rate (ORR), Progression-free Survival (PFS)","NCT04010071","Only can start after failure on another treatment: Definition of treatment failure: Disease progression during treatment or relapse after treatment, such as after at least once radical or palliative resection surgery, revenue recurrence or progression after intervention therapy or radiotherapy. Intervention therapy or oxaliplatin treatment must be more than 1 cycle, and molecular targeted therapy must more than ≥14 days.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04010071","DB06626,DB15043","6450551, NA","ENSG00000104313","EFO_0008550","ABSENT NA NA","no biomarker"
"13",13,"INTERMEDIATE STAGE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB","UNK","II, III","First Line","Overall Survival - phase III primary outcome, Time to TACE Progression (TTTP) - phase II primary outcome","NCT04268888","using TACE procedure, Active comparator is doxorubicin hydrochloride. Cannot be a candidate for surgical resection or liver transplantation, cannot have metastasis outside liver","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04268888","DB09035","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"14",14,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","I","First Line","Have technically resectable HCC, with complete extirpation of HCC at end of surgery by resection +/- intra-operative radiofrequency ablation (RFA) at time of enrolmen","NCT04224480","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04224480","DB09037","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"15",15,"UNRESECTABLE LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SITRAVATINIB, TISLELIZUMAB","UNK, UNK","I, II","Advanced, Second Line","Phase 1: Number of participants with adverse events (AEs) and serious adverse events (SAEs) per NCI-CTCAE version 5.0","NCT03941873","Cohorts, A: Anti-PD-1/PD-L1 antibody naive HCC, B: Anti-PD-1/PD-L1 antibody refractory/resistant HCC, Sitravatinib used as a monotherapy as well. Must have Failed current standard-of-care treatment, or standard-of-care treatment is considered not appropriate at present","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03941873","DB15036,DB14922","25212148, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"16",16,"RESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CEMIPLIMAB","UNK","II","First Line, Second Line","Significant tumor necrosis (STN) at time of surgery is the primary endpoint for the HCC cohort","NCT03916627","Patient must be determined to be a surgical candidate for resection of their tumor. Others cancers in trial, Separate HCC cohort","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03916627","DB14707","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"17",17,"HEPATOBILIARY TUMORS","IDH1-R132","Positive","NA","mutation","FT-2102, NIVOLUMAB","UNK, UNK","I, II","Advanced, Second Line","Number of participants with a Dose Limiting Toxicity (DLT) [Phase 1], Doses recommended for future studies [Phase 1]","NCT03684811","Multiple cancers studied in different cohorts. Hepatobiliary cancer that is relapsed/refractory or intolerant to approved standard-of-care therapy (included: hepatocellular carcinoma, bile duct carcinoma, intrahepatic cholangiocarcinoma or other hepatobiliary carcinomas).","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03684811","NA,DB09035","118955396, NA","NA","EFO_0008550","IDH1-R132 MUTATION POSITIVE","failed biomarker"
"18",18,"HEPATOBLASTOMA OR HEPATOCELLULAR CARCINOMA","INI1/SMARCB1","Positive","NA","Protein Expression","CARBOPLATIN, CISPLATIN, DOXORUBICIN, ETOPOSIDE, FLUOROURACIL, GEMCITABINE, IRINOTECAN, OXALIPLATIN, SORAFENIB, VINCRISTINE SULFATE","UNK, UNK, UNK, UNK, UNK, UNK, UNK, UNK, UNK, UNK","II, III","First Line","Event-free survival (EFS), Percentage of Group B2 participants with resectable tumors, Response rate for Group F patients","NCT03533582","Active comparator: Patients undergo observation. Found infromation of SMARCB1/INI1: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5406539/. Trial has multiple arms with some patients getting surgery, no surgery, and also just observation. Some cohorts are seperated by WDF status. Treating Children and young adults","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03533582","DB00958,DB00515,DB00997,DB00773,DB00544,DB00441,DB00762,DB00526,DB00398,NA","56840877, 2767, 443939, 36462, 3385, 60750, 60838, 5310940, 406563, 5388992","NA","EFO_0000707","INI1/SMARCB1 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"19",19,"HEPATOCELLULAR CARCINOMA","AFP","Positive/Negative","NA","Protein Expression","PRAVASTATIN","UNK","II","Second Line","Time to Recurrence","NCT03219372","Must have AFP < 400 ng/mL","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03219372","DB00175","16759173","ENSG00000081051","EFO_0000182","AFP PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"20",20,"HEPATOCELLULAR CARCINOMA","VEGF, AFP","Positive, Positive","AND","Protein Expression, Protein Expression","APATINIB","VEGFR","II","First line","overall survival","NCT03511703","Second arm is standard treatment with TACE: Intra-arterial infusion chemotherapy for tumors, commonly used chemotherapy drugs include anthracyclines, platinum, etc.; chemotherapeutic drugs and embolic agents are mixed together and injected through the blood supply artery of the tumor. The most commonly used embolic agent for TACE treatment is a lipiodol emulsion.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03511703","DB14765","45139106","ENSG00000112715, ENSG00000081051","EFO_0000182","VEGF PROTEIN EXPRESSION POSITIVE AND AFP PROTEIN EXPRESSION POSITIVE","pass"
"21",21,"UNRESECTABLE INTRAHEPATIC CHOLANGIOCARCINOMA","absent","NA","NA","NA","IRINOTECAN, OXALIPLATIN, FLUOROURACIL, LEUCOVORIN","UNK, UNK, UNK, UNK","III","Advanced, First Line","Overall survival","NCT03771846","Experimental arm: Hepatic artery infusion chemotherapy, Active comparator: Participants received systemic chemotherapy of gemcitabine and oxaliplatin, cannot be amendable to surgical resection ,local ablative therapy and any other cured treatment","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03771846","DB00762,DB00526,DB00544,DB00650","60838, 5310940, 3385, 135403647","ENSG00000104313","EFO_0000313","ABSENT NA NA","no biomarker"
"22",22,"LOCALLY ADVANCED CHOLANGIOCARCINOMA NON-RESECTABLE","absent","NA","NA","NA","GEMCITABINE, OXALIPLATIN","UNK, UNK","II","Advanced, Second Line","objective response rate","NCT03364530","Histologically-proven intrahepatic cholangiocarcinoma previously treated by first-line systemic therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03364530","DB00441,DB00526","60750, 5310940","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"23",23,"UNRESECTABLE CHOLANGIOCARCINOMA","absent","NA","NA","NA","ABC294640, HYDROXYCHLOROQUINE SULFATE","SK2, autophagy","II","First Line, Second Line","Part1 - Determine Response Rate, Part 2 - Determine the Durable Disease Control Rate","NCT03377179","Patients with histologically confirmed intrahepatic, perihilar or extra-hepatic CCA.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03377179","NA,NA","15604015, 12947","ENSG00000104313","EFO_0000313","ABSENT NA NA","no biomarker"
"24",24,"HIGH RISK INTRAHEPATIC CHOLANGIOCARCINOMA (IB, II, III, IIIA, IIIB)","absent","NA","NA","NA","GEMCITABINE, CISPLATIN, NAB-PACLITAXEL","UNK, UNK, UNK","II","First Line","Completion of all preoperative and operative therapy, Incidence of adverse events","NCT03579771","high-risk but technically resectable intrahepatic cholangiocarcinoma and is completed with surgical resection, must receive surgical resection","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03579771","DB00441,DB00515,NA","60750, 2767, 36314","ENSG00000104313","EFO_0000313","ABSENT NA NA","no biomarker"
"25",25,"ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","REGORAFENIB, AVELUMAB","UNK, UNK","II","Advanced, First Line, Second Line","Recommended phase II dose (RP2D) Assessment of the antitumor activity of regorafenib","NCT03475953","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03475953","DB08896,DB11945","11167602, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"26",26,"ADVANCED OR METASTATIC BILLARY TRACT CANCER","absent","NA","NA","NA","REGORAFENIB, AVELUMAB","UNK, UNK","I, II","Advanced, First Line, Second Line","Assessment of the antitumor activity of regorafenib","NCT03475953","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03475953","DB08896,DB11945","11167602, NA","ENSG00000104313","MONDO_0002516","ABSENT NA NA","no biomarker"
"27",27,"BILLARY TRACT CANCER","absent","NA","NA","NA","IRINOTECAN LIPOSOME, 5-FLUOROURACIL, LEUCOVORIN","UNK, UNK, UNK","II","Advanced, First Line","Progression-free survival [PFS]","NCT03044587","hepatocellular carcinoma, and other cancers, are listed in beginning of trial but not in inclusion criteria. Intra/extrahepatic billary tract cancers are both accepted. Active comparator: Arm Cisplatin + Gemcitabine (Arm B, standard of care)","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03044587","NA,DB00544,DB00650","NA, 3385, 135403647","ENSG00000104313","EFO_0000311","ABSENT NA NA","failed drug,no biomarker"
"28",28,"UNRESECTABLE INTRAHEPATIC CHOLANGIOCARCINOMA","absent","NA","NA","NA","MELPHALAN, CISPLATIN, GEMCITABINE","UNK, UNK","II, III","First Line, Second Line","Overall Survival","NCT03086993","The active comparator is just treatment with Cisplatin and Gemcitabine. Drugs delivered using Percutaneous Hepatic Perfusion","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03086993","DB01042,DB00515,DB00441","460612, 2767, 60750","ENSG00000104313","EFO_0000313","ABSENT NA NA","no biomarker"
"29",29,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ZSP1241","UNK","I","Advanced, Second Line","Safety and tolerability of ZSP1241 in single dose ascending (SAD) and multiple dose ascending (MAD) as measured by assessment of maximum tolerated dose (MTD), dose limiting toxicity (DLT) and treatment emergent adverse events (TEAEs)","NCT03734926","Part 2 cohort A is specific to hepatocellular carcinoma, patients must have Confirmed diagnosis of advanced solid tumors by histological or cytological examination, participants have no effective standard anticancer therapy available or is intolerant to standard anticancer therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03734926","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"30",30,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SHR 1210, APATINIB","PD1, VEGFR2","II","Advanced, First Line, Second Line","Objective Response Rate (ORR)","NCT03463876","Barcelona Clinic Liver Cancer stage Category B or C.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03463876","NA,DB14765","NA, 45139106","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"31",31,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB","UNK","II","First Line","Local recurrence-free survival during a 2-years follow-up after Nivolumab neoadjuvant/adjuvant therapy and EP procedure","NCT03630640","patients will receive electroporation (a form of ablation)","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03630640","DB09035","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"32",32,"ADVANCED HEPATOCELLULAR CARCINOMA","HBsAg","Positive","NA","Protein Expression","PEMBROLIZUMAB","UNK","II","Advanced, First Line, Second Line","Response rate (RR) according to RECIST1.1","NCT03419481","confirmed chronic infection with hepatitis B virus as defined by positivity for HBsAg, For patients who are positive for HBsAg, antiviral therapy for HBV must be given for at least 12 weeks and HBV viral load must be less than 100 IU/mL prior to first dose of study drug. Subjects on active HBV therapy with viral loads under 100 IU/ml should stay on the same therapy throughout study treatment.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03419481","DB09037","NA","NA","EFO_0009260","HBSAG PROTEIN EXPRESSION POSITIVE","failed biomarker"
"33",33,"LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","APL-501, APL-101","PD1, cMet","I, II","Advanced, Second Line","Dose Limiting Toxicities (Phase 1)","NCT03655613","Other experimental arm with renal cancer","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03655613","NA,NA","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"34",34,"UNRESECTABLE OR METASTATIC HEPATOCELLULAR CARCINOMA (III, IIIA, IIIB, IV, IVA, IVB)","absent","NA","NA","NA","BMS-986205, NIVOLUMAB","IDO1, UNK","I, II","Advanced, First Line, Second Line","Incidence of adverse events (AE), Objective response rate (ORR)","NCT03695250","cannot have received more than one systemic HCC therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03695250","NA,DB09035","121328278, NA","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"35",35,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SHR-1210, FOLFOX4","UNK, UNK","III","Advanced, First Line","Overall Survival","NCT03605706","control is FOLFOX4 or sorafenib. FOLFOX4 is a drug combination","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03605706","NA,NA","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"36",36,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PARA-TOLUENESULFONAMIDE","UNK","II","First Line","Objective Response Rate (ORR)","NCT03447951","experimental groups change drug amount vs tumor volume. Must be Barcelona Clinic Liver Cancer (BCLC) stage B.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03447951","NA","6269","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"37",37,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","IDARUBICIN, LIPIODOL","UNK, UNK","II","First Line","Percentage of participants presenting a disease control at 4 months","NCT03727633","Has to be disease that is not suitable for resection, ablation or radiofrequency. Cannot be metastatic. Child-Pugh A or B7","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03727633","DB01177,NA","636362, NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"38",38,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","BGB-A317","PD1","II","Second Line","Objective Response Rate (ORR) assessed by Independent Review Committee (IRC)","NCT03419897","Must have received at least 1 line of systemic therapy for unresectable HCC","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03419897","NA","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug,no biomarker"
"39",39,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","OXALIPLATIN, SORAFENIB","UNK, UNK","II","Advanced, First Line","Progression Free Survival (PFS)","NCT03812770","HAIC: Hepatic arterial infusion chemotherapy with Oxaliplatin. Active Comparator: Sorafenib plus HAIC of FOLFOX. Barcelona clinic liver cancer-stage C","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03812770","DB00526,DB00398","5310940, 406563","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"40",40,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","REGORAFENIB, PEMBROLIZUMAB","UNK, UNK","I","Advanced, First Line","Incidence of treatment-emergent adverse event(TEAEs), Severity of TEAEs, se Limiting Toxicities(DLTs)","NCT03347292","Barcelona Clinic Liver Cancer (BCLC) stage B or C","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03347292","DB08896,DB09037","11167602, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"41",41,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CABOZANTINIB, ATEZOLIZUMAB","UNK, UNK, UNK","III","Advanced, First Line","Duration of Progression Free Survival (PFS) for the experimental arm vs. the control arm , Duration of Overall Survival (OS) for the experimental arm vs. the control arm","NCT03755791","Active comparator: Sorafenib. Barcelona Clinic Liver Cancer (BCLC) stage Category B or C.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03755791","DB08875,DB11595","25102846, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"42",42,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB, OXALIPLATIN, FLUOROURACIL, LEUCOVORIN","UNK, UNK, UNK, UNK","III","Advanced, First Line","Overall survival","NCT03775395","Active comparator: Oxaliplatin, fluorouracil, leucovorin and Sorafenib. HAIC is Hepatic arterial infusion chemotherapy with Oxaliplatin, fluorouracil, leucovorin. Barcelona clinic liver cancer-stage C","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03775395","DB09078,DB00526,DB00544,DB00650","11237762, 5310940, 3385, 135403647","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"43",43,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PT-112","UNK","II","Advanced, Second Line","Adverse Event (AE), Dose Limited Toxicity (DLT), AE, Disease Control Rate (DCR). Barcelona Clinic Liver Cancer (BCLC) staging: Stage C","NCT03439761","HCC is tested in the second phase of this trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03439761","NA","3001152","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"44",44,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB, PEMBROLIZUMAB","UNK, UNK","III","Advanced, First Line","Progression-free Survival (PFS) per Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1), Overall Survival (OS)","NCT03713593","Active Comparator: lenvatinib plus placebo. Has Barcelona Clinic Liver Cancer (BCLC) Stage C disease, or BCLC Stage B disease not amenable to locoregional therapy or refractory to locoregional therapy, and not amenable to a curative treatment approach","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03713593","DB09078,DB09037","11237762, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"45",45,"LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR","absent","NA","NA","NA","ATEZOLIZUMAB, BEVACIZUMAB","UNK, UNK","III","Advanced, First Line","Overall Survival (OS), ogression Free Survival (PFS) as Determined by an Independent Review Facility (IRF) According to Response Evalutaion Criteria in Solid Tumors (RECIST) v1.1","NCT03434379","Active comparator: Sorafenib","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03434379","DB11595,DB00112","NA, NA","ENSG00000104313","EFO_0009709","ABSENT NA NA","no biomarker"
"46",46,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","MIV-818","UNK","II","First Line, Second Line","Number of participants with treatment related AEs as assessed by CTCAE v5.0","NCT03781934","HCC in phase 2a cohort","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03781934","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"47",47,"URESECTABLE OR NON-ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB, NIVOLUMAB","UNK, UNK","I","First Line","Part 1: Number of Participants with Dose-Limiting Toxicities (DLTs), Part 1 and Part 2: Number of Participants with Any Serious and/or Non-serious Adverse Event","NCT03418922","Part 1: HCC for which no other appropriate therapy is available; Part 2: No prior systemic therapy for advanced/unresectable HCC","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03418922","DB09078,DB09035","11237762, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"48",48,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB","UNK","III","First Line","RFS","NCT04053972","Control group has no intervention. Patients must receive hepatectomy and have microvascular invasion following surgery","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04053972","DB09078","11237762","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"49",49,"LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR","absent","NA","NA","NA","GNS561","UNK","I, II","Advanced, First Line, Second Line","Dose-Limiting Toxicity","NCT03316222","must be deemed not appropriate for curative therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03316222","NA","NA","ENSG00000104313","EFO_0009709","ABSENT NA NA","failed drug,no biomarker"
"50",50,"INTRAHEPATIC CHOLANGIOCARCINOMA","absent","NA","NA","NA","GNS561","UNK","I, II","Advanced, First Line, Second Line","Dose-Limiting Toxicity","NCT03316222","must be deemed not appropriate for curative therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03316222","NA","NA","ENSG00000104313","EFO_1001961","ABSENT NA NA","failed drug,no biomarker"
