"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"11","NA","NA","LIVER CANCER","TIPRL,LC3,CD133","expression,expression,expression",NA,"Tissues",31727942,"The positive correlation of TIPRL with LC3 and CD133 contributes to cancer aggressiveness: potential biomarkers for early liver cancer.","TIPRL knockdown significantly reduced expressions of LC3, CD133, stemness-related genes, as well as viability and stemness of liver cancer cell-lines.complex involvement of TIPRL/LC3/CD133 in liver cancer aggressiveness can together or individually serve as potential biomarkers for the early detection of liver cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31727942","High_Unfavourable,High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000143155, ENSG00000140941, ENSG00000007062","MONDO_0002691","failed","failed term"
"12","NA","NA","HEPATOCELLULAR CARCINOMA","miR-942,RRM2B","RNA,expression",NA,"Tissues",31632084,"miR-942 promotes proliferation and metastasis of hepatocellular carcinoma cells by inhibiting RRM2B.","High expression of miR-942 was associated with shorter overall survival and disease-free survival time of HCC patients. RRM2B was validated as a target gene of miR-942.miR-942 may serve as a potential biomarker for HCC and its inhibitor may be a therapeutic agent for the treatment of this deadly disease.","https://www.ncbi.nlm.nih.gov/pubmed/31632084","High_Unfavourable",NA,"NA","56956252","NA, ENSG00000048392","EFO_0000182","failed","failed biomarker,failed term"
"13","NA","NA","HEPATOCELLULAR CARCINOMA","AKR1C1-3 ","expression",NA,"Patients",31611960,"AKR1C1-3, notably AKR1C3, are distinct biomarkers for liver cancer diagnosis and prognosis: Database mining in malignancies.","high expression levels of AKR1C1-3 were correlated with lower overall survival in liver cancer patients. Using the co-expression and PPI network, AKR1C1-3 genes were identified that were involved in the same pathway displaying 44 total unique interactors. These results suggested that the increased AKR1C1-3, notably AKR1C3 expression levels served as possible diagnostic biomarkers and essential prognostic factors for liver cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/31611960","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","AKR1C1-3 EXPRESSION NA","failed biomarker"
"14","NA","NA","HEPATOCELLULAR CARCINOMA","KCNK2,KCNK15,KCNK17,KCNK9","expression",NA,"Patients",31581133,"KCNK levels are prognostic and diagnostic markers for hepatocellular carcinoma.","reduced expression of KCNK2, KCNK15, and KCNK17 in liver cancer, as well as overexpression of KCNK9, all of which correlated with a better prognosis for HCC patients per survival analyses.","https://www.ncbi.nlm.nih.gov/pubmed/31581133","Low_favourable,Low_favourable,Low_favourable,High_favourable",NA,"NA","56956252","ENSG00000082482, ENSG00000124249, ENSG00000124780, ENSG00000169427","EFO_0000182","failed","failed term"
"15","NA","NA","HEPATOCELLULAR CARCINOMA","CTHRC1","expression",NA,"Tissues",31576140,"CTHRC1 May Serve As A Prognostic Biomarker For Hepatocellular Carcinoma.","High expression of CTHRC1 in hepatocellular carcinoma tissues is significantly associated with poor survival.","https://www.ncbi.nlm.nih.gov/pubmed/31576140","High_Unfavourable",NA,"NA","56956252","ENSG00000164932","EFO_0000182","CTHRC1 EXPRESSION NA","pass"
"16","NA","NA","HEPATOCELLULAR CARCINOMA","CDCA5","expression",NA,"Patients",30497429,"CDCA5 overexpression is an Indicator of poor prognosis in patients with hepatocellular carcinoma (HCC).","increased CDCA5 expression was associated with increased tumor diameter and microvascular invasion in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/30497429","High_Unfavourable",NA,"NA","56956252","ENSG00000146670","EFO_0000182","CDCA5 EXPRESSION NA","pass"
"17","NA","NA","HEPATOCELLULAR CARCINOMA","CPEB1,SIRT1","expression,expression",NA,"NA",30237545,"CPEB1 mediates hepatocellular carcinoma cancer stemness and chemoresistance.","CPEB1 is downregulated in HCC.Overexpression of CPEB1 dramatically reduced HCC cell stemness, whereas silencing CPEB1 enhances it.negative regulation between CPEB1 and SIRT1 contributes to the suppression of cancer stemness in HCC","https://www.ncbi.nlm.nih.gov/pubmed/30237545","High_Unfavourable,Low_Unfavourable",NA,"NA","56956252","ENSG00000214575, ENSG00000096717","EFO_0000182","failed","failed term"
"18","NA","NA","HEPATOCELLULAR CARCINOMA","MTHFD1,AFP","expression,expression",NA,"NA",30997850,"Overexpression of MTHFD1 in hepatocellular carcinoma predicts poorer survival and recurrence.","High MTHFD1 expression in HCC represented poor prognosis. Combining MTHFD1 with serum AFP, survival analysis demonstrated the prognosis of the MTHFD1 low expression and AFP ≤20 ng/ml group was better ","https://www.ncbi.nlm.nih.gov/pubmed/30997850","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000100714, ENSG00000081051","EFO_0000182","failed","failed term"
"19","NA","NA","HEPATOCELLULAR CARCINOMA","HOXD8","expression",NA,"celline",30941968,"MiR-5692a promotes proliferation and inhibits apoptosis by targeting HOXD8 in hepatocellular carcinoma.","overexpressed miR-5692a accelerated cell cycle and inhibited cell apoptosis.miR-5692a functioned as an oncogene by regulating HOXD8 in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/30941968","High_Unfavourable",NA,"NA","56956252","ENSG00000175879","EFO_0000182","HOXD8 EXPRESSION NA","pass"
"20","NA","NA","HEPATOCELLULAR CARCINOMA,HEPATOBLASTOMA","OGDHL","expression/methylation",NA,"PDX,Patients",31899205,"OGDHL silencing promotes hepatocellular carcinoma by reprogramming glutamine metabolism.","silencing of OGDHL contributed to HCC development and survival by regulating glutamine metabolic pathways, and suggest OGDHL as a promising prognostic biomarker and therapeutic target for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31899205","Low_Unfavourable",NA,"NA","56956252","ENSG00000197444","EFO_0000707","OGDHL EXPRESSION/METHYLATION NA","pass"
"21","NA","NA","HEPATOCELLULAR CARCINOMA","TIA1,EP400","expression,expression",NA,"in silico",31897208,"In silico identification of EP400 and TIA1 as critical transcription factors involved in human hepatocellular carcinoma relapse.","high expression of EP400 and TIA1 were significantly associated with shorter relapse-free survival and disease-free survival of patients with HCC.  high EP400 expression significantly reduced the overall survival of patients with HCC. EP400 and TIA1 may therefore serve as potential prognostic and therapeutic biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/31897208","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000116001, ENSG00000183495","EFO_0000182","failed","failed term"
"22","NA","NA","HEPATOCELLULAR CARCINOMA","UBE2Z","expression",NA,"Patients",31831168,"Upregulation of ubiquitin-conjugating enzyme E2Z is associated with human hepatocellular carcinoma","High UBE2Z expression was significantly correlated with age, advanced TNM stage, histological grade, vascular invasion, elevated serum alpha-fetoprotein expression (AFP), worse overall survival (OS) and disease-free survival (DFS) of HCC patients .UBE2Z might be considered as a prognostic biomarker in HCC and provided a potential therapeutic tumor-associated antigen for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31831168","High_Unfavourable",NA,"NA","56956252","ENSG00000159202","EFO_0000182","UBE2Z EXPRESSION NA","pass"
"23","NA","NA","HEPATOCELLULAR CARCINOMA","APOF","expression",NA,"celline",31687155,"Decreased expression of ApoF associates with poor prognosis in human hepatocellular carcinoma.","ApoF expression was down-regulated in HCC, which was associated with low recurrence-free survival rate. ApoF may serve as a tumor suppressor in HCC and be a potential application for the treatment of this disease.","https://www.ncbi.nlm.nih.gov/pubmed/31687155","Low_Unfavourable",NA,"NA","56956252","ENSG00000175336","EFO_0000182","APOF EXPRESSION NA","pass"
"24","NA","NA","HEPATOCELLULAR CARCINOMA","AKR1B10","serum-level",NA,"Patients",31495535,"Serum AKR1B10 predicts the risk of hepatocellular carcinoma - A retrospective single-center study.","The level of serum AKR1B10 was significantly higher in HCC patients (1800.24±2793.79) than in health donors (129.34±194.129), and downregulation of serum AKR1B10 in HCC patients was observed after hepatectomy. ","https://www.ncbi.nlm.nih.gov/pubmed/31495535","High_unfavourable",NA,"NA","56956252","ENSG00000198074","EFO_0000182","AKR1B10 SERUM-LEVEL NA","pass"
"25","CISPLATIN","NA","HEPATOBLASTOMA","CSF3R","DNA hypermethylation",NA,"Patients",31894653,"Hypermethylation of CSF3R Is a Novel Cisplatin Resistance Marker and Predictor of Response to Postoperative Chemotherapy in Hepatoblastoma","Bisulfite pyrosequencing analysis also confirmed CSF3R was significantly hypermethylated in cisplatin-resistant patients.  Among.  cisplatin-sensitive patients, recurrence curves showed that the CSF3R high methylation patients had significantly higher recurrence than CSF3R low methylation patients","https://www.ncbi.nlm.nih.gov/pubmed/31894653","High_Unfavourable",NA,"DB00515","135804801","ENSG00000119535","EFO_1000292","CSF3R DNA HYPERMETHYLATION NA","pass"
"26","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","miR-744,PAX2","RNA,expression",NA,"Patients",31553714,"Exosomal MiR-744 Inhibits Proliferation and Sorafenib Chemoresistance in Hepatocellular Carcinoma by Targeting PAX2","downregulated miR-744 promotes HepG2 cell proliferation and inhibits the chemosensitivity of HepG2 cells to sorafenib. PAX2 was identified as the functional target of miR-744. Interestingly, miR-744 is decreased in exosomes derived from sorafenib-resistant HepG2 cells. Serum exosomal miR-744 might act as a biomarker of HCC, and exosomal miR-744 might offer an innovative strategy for HCC treatment.","https://www.ncbi.nlm.nih.gov/pubmed/31553714","High_Unfavourable,High_Unfavourable",NA,"DB00398","406563","NA, ENSG00000075891","EFO_0000182","failed","failed biomarker,failed term"
"27","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","MFAP5","expression",NA,"mouse",31775892,"MFAP5 Facilitates the Aggressiveness of Intrahepatic Cholangiocarcinoma by Activating the Notch1 Signaling Pathway"," We identified MFAP5 as a biomarker for the diagnosis and prognosis of ICC. Upregulated MFAP5 is a common feature in aggressive ICC patients' tissues. Importantly, MFAP5 level in the serum of ICC patients and healthy individuals showed significant differential expression profiles.","https://www.ncbi.nlm.nih.gov/pubmed/31775892","High_Unfavourable",NA,"NA","56956252","ENSG00000197614","EFO_1001961","MFAP5 EXPRESSION NA","pass"
"28","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","IFN-γ","expression",NA,"Patients",31391334,"Augmentation of IFN-γ+ CD8+ T Cell Responses Correlates With Survival of HCC Patients on Sorafenib Therapy","elevated levels of CD8+Ki67+ T cells producing IFN-γ were associated with improved progression-free survival and overall survival .CD8+Ki67+ T cells producing IFN-γ are a key biomarker of response to sorafenib therapy resulting in survival benefit. ","https://www.ncbi.nlm.nih.gov/pubmed/31391334","High_favourable",NA,"DB00398","406563","NA","EFO_0000182","IFN-Γ EXPRESSION NA","failed biomarker"
"29","OXALIPLATIN","NA","HEPATOCELLULAR CARCINOMA","CCN2,ID1","expression,expression",NA,"NA",31250351,"CCN2-MAPK-Id-1 Loop Feedback Amplification Is Involved in Maintaining Stemness in Oxaliplatin-Resistant Hepatocellular Carcinoma","Upregulation of CCN2 and Id-1 was independently associated with shorter survival and increased recurrence in HCC patients, and significantly enhanced oxaliplatin resistance and promoted lung metastasis in vivo, whereas knock-down of their expression significantly reversed the chemo-resistance and inhibited HCC cell stemness. ","https://www.ncbi.nlm.nih.gov/pubmed/31250351","High_Unfavourable,High_Unfavourable",NA,"DB00526","71301229","ENSG00000118523, ENSG00000125968","EFO_0000182","failed","failed term"
"30","SORAFENIB, BEZ‑235","Multikinase,AKT","LIVER CANCER","FoxM1,AP1,AKT","expression,expression,expression",NA,"celline",31233189,"Activation of AKT/AP1/FoxM1 Signaling Confers Sorafenib Resistance to Liver Cancer Cells","forkhead box M1 (FoxM1) was significantly overexpressed in sorafenib‑resistant cells, at the mRNA and protein levels. Knockdown of FoxM1 rendered drug‑tolerant cells sensitive to sorafenib. there is an activator protein‑1 (AP1) binding site in the promoter of FoxM1.Inhibition of AKT using BEZ‑235 markedly suppressed the upregulation of c‑jun and FoxM1, and increased the sensitivity of drug‑resistant cells to sorafenib in vitro and in vivo.","https://www.ncbi.nlm.nih.gov/pubmed/31233189","High_Unfavourable",NA,"DB00398,NA","406563, 11977753","ENSG00000111206, ENSG00000177606, ENSG00000166971","MONDO_0002691","failed","failed term"
"31","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","KPNA3","expression",NA,"PDX,Patients",31417635,"KPNA3 Confers Sorafenib Resistance to Advanced Hepatocellular Carcinoma via TWIST Regulated Epithelial-Mesenchymal Transition","Overexpression of KPNA3 in HCC cells enhanced tumor cell growth and invasiveness. novel KPNA3-AKT-ERK-TWIST signaling cascade that promotes EMT and mediates sorafenib resistance in HCC. retrospective analysis revealed that HCC patients with low KPNA3 expression had remarkably longer survival after sorafenib treatment.","https://www.ncbi.nlm.nih.gov/pubmed/31417635","High_Unfavourable",NA,"DB00398","406563","ENSG00000102753","EFO_0000182","KPNA3 EXPRESSION NA","pass"
"32","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","BRMS1","expression",NA,"celline",31233204,"Synergistic Antitumor Effect of BRMS1 and Sorafenib via Inhibition of the PI3K/AKT/mTOR/ERK Signaling Pathway","overexpression of BRMS1 potentiated the effect of sorafenib via PI3K/AKT/mTOR/ERK signaling, while knockdown of BRMS1 expression attenuated this effect.","https://www.ncbi.nlm.nih.gov/pubmed/31233204","High_favourable",NA,"DB00398","406563","ENSG00000174744","EFO_0000182","BRMS1 EXPRESSION NA","pass"
"33","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","TARBP2","expression",NA,"NA",30657254,"TARBP2-mediated Destabilization of Nanog Overcomes Sorafenib Resistance in Hepatocellular Carcinoma","TARBP2 is significantly downregulated in sorafenib-resistant HCC cells.","https://www.ncbi.nlm.nih.gov/pubmed/30657254","Low_Unfavourable",NA,"DB00398","406563","ENSG00000139546","EFO_0000182","TARBP2 EXPRESSION NA","pass"
"34","NA","PARP1","HEPATOCELLULAR CARCINOMA","EGFR,MET","expression,expression",NA,"NA",30573522,"EGFR and c-MET Cooperate to Enhance Resistance to PARP Inhibitors in Hepatocellular Carcinoma","Inhibition of both EGFR and MET sensitized HCC cells to PARPi, and both EGFR and MET are known to be overexpressed in HCC. Regulation of PARP by the c-MET and EGFR heterodimer suggests a potentially effective combination therapy to sensitize HCC to PARPi.","https://www.ncbi.nlm.nih.gov/pubmed/30573522","High_Unfavourable",NA,"NA","56956252","ENSG00000146648, ENSG00000105976","EFO_0000182","failed","failed term"
"35","SOREFENIB, REGORAFENIB","Multikinase , NA","HEPATOCELLULAR CARCINOMA","albumin-bilirubin score","serum-level",NA,"Patients",30380075,"Using ALBI Score at the Start of Sorafenib Treatment to Predict Regorafenib Treatment Candidates in Patients With Hepatocellular Carcinoma","The albumin-bilirubin score is a good biomarker for hepatic reserve function.albumin-bilirubin score at the start of sorafenib therapy is a useful marker for identifying candidate patients for starting regorafenib therapy.","https://www.ncbi.nlm.nih.gov/pubmed/30380075",NA,NA,"NA,DB08896","NA, 24768591","NA","EFO_0000182","ALBUMIN-BILIRUBIN SCORE SERUM-LEVEL NA","failed drug,failed biomarker"
"36","ADRIAMYCIN","NA","HEPATOCELLULAR CARCINOMA","YAP1","expression",NA,"NA",30111512,"miR-590-5p suppresses hepatocellular carcinoma chemoresistance by targeting YAP1 expression.","YAP1-mediated chemoresistant phenotype was closely related to increased expression of stemness markers and ATP-binding cassette transporters. HCC patients with poor response to transarterial chemoembolization (TACE) treatment had higher protein level of YAP1 than that in the responsive patients.","https://www.ncbi.nlm.nih.gov/pubmed/30111512","High_Unfavourable",NA,"NA","443939","ENSG00000137693","EFO_0000182","YAP1 EXPRESSION NA","pass"
"37","NA","NA","HBV-HEPATOCELLULAR CARCINOMA","ALT, AST, NLR, AFP","serum-level,serum-level,serum-level,serum-level",NA,"Patients",32150664,"Combination of inflammatory score/liver function and AFP improves the diagnostic accuracy of HBV-related hepatocellular carcinoma.","The diagnostic performance of AFP combined with ALT, AST, and NLR for HBV-HCC was superior to single biomarker or any other combinations among these patients, and its diagnostic equation can be used as useful tool for differentiation of HBV-HCC from Chronic hepatitis B.","https://www.ncbi.nlm.nih.gov/pubmed/32150664",NA,NA,"NA","56956252","NA, ENSG00000119899, ENSG00000179583, ENSG00000081051","EFO_0000707","failed","failed biomarker,failed term"
"38","NA","NA","LIVER CANCER","ORM2","expression",NA,"Patients",32148378,"Downregulation of orosomucoid 2 acts as a prognostic factor associated with cancer-promoting pathways in liver cancer.","ORM1 and ORM2 were highly expressed specifically in liver tissues, whereas ORM1 and ORM2 were downregulated in liver tumor tissues. ORM2 is a better prognostic factor for liver cancer. Furthermore, ORM2 is closely associated with cancer-promoting pathways.","https://www.ncbi.nlm.nih.gov/pubmed/32148378","Low_Unfavourable",NA,"NA","56956252","ENSG00000228278","MONDO_0002691","ORM2 EXPRESSION NA","pass"
"39","NA","NA","HEPATOCELLULAR CARCINOMA","YTHDF1, YTHDF2, METTL3, KIAA1429","expression,expression,expression,expression",NA,"Patients",32111180,"Multiple m6A RNA methylation modulators promote the malignant progression of hepatocellular carcinoma and affect its clinical prognosis.","Four m6A RNA methylation modulators (YTHDF1, YTHDF2, METTL3, and KIAA1429) affecting OS in the TCGA and ICGC analyses were selected to construct a risk signature, which was significantly associated with WHO stage and was also an independent prognostic marker of OS.","https://www.ncbi.nlm.nih.gov/pubmed/32111180",NA,NA,"NA","56956252","ENSG00000149658, ENSG00000198492, ENSG00000165819, ENSG00000164944","EFO_0000182","failed","failed term"
"40","NA","NA","HEPATOCELLULAR CARCINOMA","circPCNX ,PCNX","RNA,RNA",NA,"Patients",32099459,"circPCNX and Pecanex Promote Hepatocellular Carcinoma Cell Viability by Inhibiting miR-506.","study revealed the function of circPCNX and Pecanex in promoting HCC progression and acting as biomarkers in the clinical estimate and treatment of HCC. we observed that circPCNX and Pecanex were significantly upregulated in tumor tissues of patients with HCC and correlated with clinicopathological variables or prognosis of HCC patients","https://www.ncbi.nlm.nih.gov/pubmed/32099459","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000100731","EFO_0000182","failed","failed biomarker,failed term"
"41","NA","NA","HEPATOCELLULAR CARCINOMA","BZRAP1-AS1","RNA",NA,"cellines,tissues",31847842,"Long non-coding RNA BZRAP1-AS1 silencing suppresses tumor angiogenesis in hepatocellular carcinoma by mediating THBS1 methylation.","BZRAP1-AS1 was identified as a highly expressed lncRNA in HCC tissues and cells. BZRAP1-AS1 may be a promising marker for the treatment of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31847842","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","BZRAP1-AS1 RNA NA","failed biomarker"
"42","NA","NA","LIVER CANCER","ANXA2, ANXA5, ANXA7,ANXA10","expression,expression,expression,expression",NA,"NA",31807177,"Expression levels and prognostic values of annexins in liver cancer.","present study suggested that  that ANXA2, A5, A7 and A10 may be potential prognostic biomarkers of liver cancer. High expression levels of ANXA2 and A5 were significantly associated with poor overall survival (OS) rate whereas ANXA7 and A10 were associated with increased OS.","https://www.ncbi.nlm.nih.gov/pubmed/31807177","High_Unfavourable,High_Unfavourable,High_favourable,High_favourable",NA,"NA","56956252","ENSG00000182718, ENSG00000164111, ENSG00000138279, ENSG00000109511","MONDO_0002691","failed","failed term"
"43","NA","NA","HEPATOCELLULAR CARCINOMA","FGF19","serum-level",NA,"Patients",31718608,"Serum fibroblast growth factor 19 serves as a potential novel biomarker for hepatocellular carcinoma.","FGF19 showed higher sensitivity for the detection of small HCC (solitary cancer with diameter < 20 mm) than those of existing markers.","https://www.ncbi.nlm.nih.gov/pubmed/31718608","High_Unfavourable",NA,"NA","56956252","ENSG00000162344","EFO_0000182","FGF19 SERUM-LEVEL NA","pass"
"44","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","CA19-9 , HIF-1,HDAC","serum-level,expression,expression",NA,"Patients",31704828,"Carbohydrate Antigen 19-9 Is a Prognostic Factor Which Correlates With HDAC1 and HIF-1α for Intrahepatic Cholangiocarcinoma.","High serum CA19-9 level is a poor prognostic factor for overall survival in IHCC and correlates with HIF-1α and HDAC1 expression.","https://www.ncbi.nlm.nih.gov/pubmed/31704828","High_Unfavourable",NA,"NA","56956252","NA, ENSG00000168209, ENSG00000068024","EFO_1001961","failed","failed biomarker,failed term"
"45","NA","NA","HEPATOCELLULAR CARCINOMA","MAGEC2","expression",NA,"PDX,Patients",31576142,"MAGEC2 Correlates With Unfavorable Prognosis And Promotes Tumor Development In HCC Via Epithelial-Mesenchymal Transition.","remarkably higher level of MAGEC2 expression in HCC tissues than in noncancerous tissues, and MAGEC2 expression could be used as an independent prognostic factor for overall survival in HCC","https://www.ncbi.nlm.nih.gov/pubmed/31576142","High_Unfavourable,High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000046774","EFO_0000182","MAGEC2 EXPRESSION NA","pass"
"46","GEMCITABINE","NA","CHOLANGIOCARCINOMA","OCT_4","expression",NA,"celline",31554372,"The Upregulation of OCT4 in Acidic Extracellular pH is Associated with Gemcitabine Resistance in Cholangiocarcinoma Cell Lines.","CCA cells can adapt to survive in acidic environment after which chemoresistance has been developed. Oct4 may be a key transcriptional regulator which mediates chemoresistance in response to acidic extracellular pH.","https://www.ncbi.nlm.nih.gov/pubmed/31554372","High_Unfavourable",NA,"DB00441","60750","ENSG00000204531","EFO_0005221","OCT_4 EXPRESSION NA","pass"
