"","Drug","Targets","Disease","Enrichment.biomarker","Biomarker.Gene.ID","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"18","PRASUGREL",NA,"ATHEROSCLEROSIS","CYP3A5",NA,"positive",NA,"protein expression",NA,"DB06209","6918456","ENSG00000106258","EFO_0003914","CYP3A5 PROTEIN EXPRESSION POSITIVE","pass"
"19","RUCAPARIB",NA,"OVARIAN CANCER","CYP1A2",NA,"positive",NA,"protein expression",NA,"DB12332","9931953","ENSG00000140505","MONDO_0008170","CYP1A2 PROTEIN EXPRESSION POSITIVE","pass"
"20","SEVOFLURANE",NA,"ANESTHESIOLOGY","RYR1",NA,"positive",NA,"mutation",NA,"DB01236","5206","ENSG00000196218","NA","RYR1 MUTATION POSITIVE","failed disease"
"21","USTEKINUMAB",NA,"COLITIS (UC)","IL12A, IL12B, IL23A",NA,"positive, positive, positive","AND/OR, AND/OR","mutation,mutation,mutation","https://www.pharmgkb.org/labelAnnotation/PA166163414","DB05679","NA","ENSG00000168811, ENSG00000113302, ENSG00000110944","EFO_0003872","IL12A MUTATION POSITIVE AND/OR IL12B MUTATION POSITIVE AND/OR IL23A MUTATION POSITIVE","pass"
"22","VALPROIC ACID",NA,"EPILEPSY","POLG",NA,"positive",NA,"mutation",NA,"DB00313","3121","ENSG00000140521","EFO_0000474","POLG MUTATION POSITIVE","pass"
"23","VENETOCLAX",NA,"LEUCOCYTHEMIA","TP53",NA,"positive",NA,"mutation",NA,"DB11581","49846579","ENSG00000141510","EFO_0000222","TP53 MUTATION POSITIVE","pass"
"24","VENETOCLAX",NA,"LEUCOCYTHEMIA","IGH",NA,"positive",NA,"translocation",NA,"DB11581","49846579","ENSG00000116017","EFO_0000222","IGH TRANSLOCATION POSITIVE","pass"
"25","WARFARIN",NA,"VENOUS THROMBOEMBOLIC DISEASE (VTE)","VKORC1",NA,"positive",NA,"polymorphism",NA,"DB00682","54678486","ENSG00000167397","EFO_0004260","VKORC1 POLYMORPHISM POSITIVE","pass"
"26","WARFARIN",NA,"VENOUS THROMBOEMBOLIC DISEASE (VTE)","PROS1",NA,"positive",NA,"mutation",NA,"DB00682","54678486","ENSG00000184500","EFO_0004260","PROS1 MUTATION POSITIVE","pass"
"27","WARFARIN",NA,"VENOUS THROMBOEMBOLIC DISEASE (VTE)","PROC",NA,"positive",NA,"mutation",NA,"DB00682","54678486","ENSG00000115718","EFO_0004260","PROC MUTATION POSITIVE","pass"
"28","SODIUM   PHENYLBUTYRATE",NA,"ENZYME DEFICIENCY","ASS1, CPS1, OTC",NA,"positive, positive, positive","OR,OR","mutation,mutation,mutation",NA,"NA","5258","ENSG00000130707, ENSG00000021826, ENSG00000036473","Orphanet_309005","ASS1 MUTATION POSITIVE OR CPS1 MUTATION POSITIVE OR OTC MUTATION POSITIVE","pass"
"29","ISOSORBIDE DINITRATE",NA,"METHEMOGLOBINEMIA","CYBFR",NA,"positive",NA,"mutation",NA,"DB00883","6883","NA","MONDO_0001117","CYBFR MUTATION POSITIVE","failed biomarker"
"30","MIDOSTAURIN",NA,"ACUTE MYELOID LEUKEMIA","NPM1",NA,"positive",NA,"mutation",NA,"DB06595","9829523","ENSG00000181163","EFO_0000222","NPM1 MUTATION POSITIVE","pass"
