"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"18","BAZEDOXIFENE, ESTROGEN",NA,"BREAST CANCER","Volpara,
Ki-67,
IGF-1,
IGFBP3, estradiol, testosterone","others,
protein expression,protein expression,protein expression, others, others
",NA,"patients",31420361,"Effect of Bazedoxifene and Conjugated Estrogen (Duavee) on Breast Cancer Risk Biomarkers in High-Risk Women: A Pilot Study.","Risk biomarkers included fully automated mammographic volumetric density (Volpara), benign breast tissue Ki-67 (MIB-1 immunochemistry), and serum levels of progesterone, IGF-1, and IGFBP3, bioavailable estradiol and testosterone.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31420361",NA,NA,"DB06401,NA","154256, 448537","NA, ENSG00000148773, ENSG00000259384, ENSG00000146674, ENSG00000091831, ENSG00000129214","MONDO_0007254","failed","failed biomarker,failed term"
"19","NERATINIB",NA,"HER2-POSITIVE BREAST CANCER","TBCP-1,
HER 2","protein expression,
gene expression",NA,"mouse",31409375,"Neoadjuvant neratinib promotes ferroptosis and inhibits brain metastasis in a novel syngeneic model of spontaneous HER2","The TBCP-1 model recapitulates the spontaneous spread of HER2-positive breast cancer to the brain seen in patients and provides a unique tool to identify novel therapeutics and biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31409375",NA,NA,"DB11828","9915743","NA, ENSG00000141736","EFO_1000294","failed","failed biomarker,failed term"
"20","BEVACIZUMAB, DOCETAXEL, CYCLOPHOSPHAMIDE",NA,"HER-2 NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, VEGF,
cTnI,
MPO,
PlGF,
","protein expression, protein expression, protein expression, protein expression, protein expression, protein expression,
protein expression","positive/negative, positive/negative, negative, positive, positive, positive, positive,","patients",31384312,"Pilot study of bevacizumab in combination with docetaxel and cyclophosphamide as adjuvant treatment for patients with early stage HER-2 negative breast cancer, including analysis of candidate circulating markers of cardiac toxicity: ICORG 08-10 trial.","We observed a low relapse rate in node-positive, HR+ patients; however, results in TN breast cancer were less encouraging.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31384312",NA,NA,"DB00112,DB01248,DB00531","NA, 148124, 2907","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000112715, NA, ENSG00000005381, ENSG00000119630, NA","MONDO_0007254","failed","failed term"
"21","NA",NA,"BREAST CANCER","PD-1","protein expression",NA,"patients",31357142,"Targeting PD-1 in cancer: Biological insights with a focus on breast cancer.","This review aims to shed light on the main principles of targeting PD-1 in breast cancer, from biology through its functional and clinical implications.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31357142",NA,NA,"NA","56956252","ENSG00000265681","MONDO_0007254","PD-1 PROTEIN EXPRESSION NA","pass"
"22","NA",NA,"MBC","TK 1
CDK 4/6/9 mRNA","protein expression
gene expression",NA,"patients",31346846,"Overexpression of TK1 and CDK9 in plasma-derived exosomes is associated with clinical resistance to CDK4/6 inhibitors in metastatic breast cancer patients.","Therefore, the present article addresses the role of the mRNA expression of thymidine kinase 1 (TK1), CDK4, 6 and 9 in plasma-derived exosomes and their relevance in the pharmacologic activity of CDK4/6i.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31346846",NA,NA,"NA","56956252","NA","NA","TK 1
CDK 4/6/9 MRNA PROTEIN EXPRESSION
GENE EXPRESSION NA","failed biomarker,failed disease"
"23","NA",NA,"BREAST CANCER","PD-1, PD-L1","others",NA,"cells
patients",31336685,"PD-1/PD-L1 Targeting in Breast Cancer: The First Clinical Evidences Are Emerging. A Literature Review","In this review, we will report the results of the most recent studies evaluating immune checkpoint inhibitors in breast cancer.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31336685",NA,NA,"NA","56956252","ENSG00000265681, ENSG00000120217","MONDO_0007254","failed","failed term"
"24","EVEROLIMUS, EXEMESTANE",NA,"ADVANCED BREAST CANCER","SP-D, YKL-40","protein expression, protein expression","positive, positive,","patients",31325105,"Prospective Study of Drug-induced Interstitial Lung Disease in Advanced Breast Cancer Patients Receiving Everolimus Plus Exemestane.","This study shows that everolimus-related ILD occurs frequently. Prospective monitoring of DLCOc in combination with measurement of serum SP-D and YKL-40 appear useful to discriminate ILD from other causes of respiratory symptoms","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31325105",NA,NA,"DB01590,DB00990","6442177, 60198","ENSG00000133661, ENSG00000133048","MONDO_0007254","failed","failed term"
"25","NA",NA,"EARLY-STAGE INVASIVE BREAST CANCER",NA,NA,NA,NA,31306037,"Use of Biomarkers to Guide Decisions on Adjuvant Systemic Therapy for Women With Early-Stage Invasive Breast Cancer: ASCO Clinical Practice Guideline Update Summary",NA,"https://www.gcbi.com.cn/gclib/html/pubmed/detail/31306037","no abstract",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"26","NA",NA,"ER-POSITIVE BREAST CANCER","ESR1, epidermal growth factor receptor 2","protein expression, protein expression","positive, negative","patients",31279611,"Efficacy of Neoadjuvant Endocrine Therapy Versus Neoadjuvant Chemotherapy in ER-positive Breast Cancer: Results From a Prospective Institutional Database.","Significantly higher rates of down-staging were achieved with NACT compared with NET when patients were matched. This study highlights the importance of establishing tumor biology and the need for biomarkers that can be used as predictive tools to inform treatment.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31279611",NA,NA,"NA","56956252","ENSG00000091831, ENSG00000141736","MONDO_0007254","failed","failed term"
"27","MK-2206",NA,"ADVANCED BREAST CANCER","ESR1, PGR, ERBB2, PIK3CA,AKT1, PTEN, Ki-67","protein expression, protein expression, protein expression,  mutation,mutation & protein expression, mutation, protein expression, protein expression","positive/negative, positive/negative, positive/negative, positive,positive, positive","patients",31277699,"Phase II trial of AKT inhibitor MK-2206 in patients with advanced breast cancer who have tumors with PIK3CA or AKT mutations, and/or PTEN loss/PTEN mutation","MK-2206 monotherapy had limited clinical activity in advanced breast cancer patients selected for PIK3CA/AKT1 or PTEN mutations or PTEN loss.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31277699","complecatted case",NA,"NA","24964624","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000121879, ENSG00000142208, ENSG00000171862, ENSG00000148773","MONDO_0007254","failed","failed term"
"28","TRASTUZUMAB",NA,"HER2+ BREAST CANCER","ERBB2, TGFBI","protein expression & amplification, methylation","positive,positive","patients",31277676,"Epigenetic silencing of TGFBI confers resistance to trastuzumab in human breast cancer.","Our results suggest for the first time an association between the epigenetic silencing of TGFBI by DNA methylation and trastuzumab resistance in HER2+ cell models. These results provide the basis for further clinical studies to validate the hypermethylation of TGFBI promoter as a biomarker of trastuzumab resistance in HER2+ breast cancer patients.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31277676",NA,NA,"DB00072","3001322","ENSG00000141736, ENSG00000120708","MONDO_0007254","failed","failed term"
"29","NA",NA,"BREAST CANCER","microRNA-21, microRNA-206","gene expression","over expression","patients",31276668,"Correlation between microRNA-21, microRNA-206 and estrogen receptor, progesterone receptor, human epidermal growth factor receptor 2 in breast cancer","Both microRNA-21 and microRNA-206 closely correlate with ER, PR, and HER2 expression, which can be considered as clinical biomarkers","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31276668",NA,NA,"NA","56956252","ENSG00000283844, NA","MONDO_0007254","failed","failed term"
"30","NA",NA,"BREAST CANCER","miR-148b-3p、miR-190b, miR-429","gene expression","positive, positive","cell lines",31281725,"miR-148b-3p, miR-190b, and miR-429 Regulate Cell Progression and Act as Potential Biomarkers for Breast Cancer","The miR-148b-3p, miR-190b, and miR-429 may serve as potential diagnostic and prognostic markers for breast cancer. This study demonstrated the roles of these 3 miRNAs in the initiation and progression of breast cancer","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31281725",NA,NA,"NA","56956252","NA, NA","MONDO_0007254","failed","failed biomarker,failed term"
"31","NA",NA,"BREAST CANCER",NA,NA,NA,"rat",31281771,"Label-free molecular profiling for identification of biomarkers in carcinogenesis using multimodal multiphoton imaging.","Multimodal multiphoton imaging reveals and interrelates diverse carcinogenic signatures, identifying biomarkers that could serve as early molecular indicators for breast cancer diagnosis. This quantitative multimodal imaging methodology for molecular profiling of associated cancer biomarkers may have a broader impact in fundamental cancer research and future clinical applications.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31281771",NA,NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"32","NA",NA,"BREAST CANCER","TPX2,
KIF2C,
CDCA8,
BUB1B,
CCNA2","gene expression, gene expression, gene expression, gene expression, gene expression,","positive, positive, positive, positive, positive","patients",31285741,"Identification of five hub genes as monitoring biomarkers for breast cancer metastasis in silico","Five hub genes (TPX2, KIF2C, CDCA8, BUB1B, and CCNA2) associated with the risk of distant metastasis were extracted for further research, which might be used as biomarkers to predict distant metastasis of breast cancer. ","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31285741",NA,NA,"NA","56956252","ENSG00000088325, ENSG00000142945, ENSG00000134690, ENSG00000156970, ENSG00000145386","MONDO_0007254","failed","failed term"
