"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.phase..comparator.","Clinical.stage.and.treatment.setting","Primary.end.point","ClinicalTrials.gov.reference","STATUS","note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"30","RECURRENT OR METASTATIC BREAST CANCER","ESR1,PR","positive,positive","AND","protein expression, protein expression","ENTINOSTAT, EXEMESTANE",NA,"I","Advanced, first line & second line","Adverse events","NCT02833155","VALID",NA,"DB11841,DB00990","4261, 60198","ENSG00000091831, ENSG00000134551","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE","pass"
"31","METASTASIS BREAST CANCER","ERBB2","positive",NA,"protein expression & amplification","TRASTUZUMAB",NA,"I,II","Advanced, first line & second line","Number of Dose Limiting Toxicities (DLT)","NCT01325207","VALID",NA,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"32","STAGE I TO III HISTOLOGICALLY CONFIRMED INVASIVE CARCINOMA","ESR1, PR, ERBB2","positive, positive, negative","AND/OR,AND","protein expression, protein expression, protein expression & amplification","LETROZOLE, TAMOXIFEN, PALBOCICLIB, ENDOCRINE THERAPY",NA,"II","Advanced and not advanced, first line & second line","Anti-proliferative activity, CR","NCT02764541",NA,NA,"DB01006,DB00675,DB09073,NA","3902, 2733526, 11478676, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0040677","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"33","TRIPLE-NEGATIVE BREAST CANCER","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","ZOLEDRONIC ACID",NA,NA,"advanced, second","Pathologic complete response time","NCT04045522","VALID",NA,"DB00399","68740","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"34","HER2-NEGATIVE METASTATIC BREAST CANCER","ERBB2","negative",NA,"protein expression & amplification","BEVACIZUMAB, PACLITAXEL",NA,"II","advanced, second","Identification of molecular biomarkers","NCT01722968","VALID",NA,"DB00112,DB01229","NA, 36314","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"35","HER2-POSITIVE ADVANCED OR RECURRENT BREAST CANCER","ERBB2","positive",NA,"protein expression & amplification","TRASTUZUMAB, ERIBULIN, ERIBULIN MESYLATE",NA,"I","advanced, second","limiting toxicity (DLT)","NCT01432886","VALID",NA,"DB00072,DB08871,NA","3001322, 17755248, 17755248","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"36","PRIMARY BREAST CANCER","ALDH1","positive",NA,"protein expression","BEVACIZUMAB",NA,"II","advanced and non-advanced, first","Measure of the anti-cancer stem cell activity","NCT01190345","VALID",NA,"DB00112","NA","ENSG00000165092","MONDO_0007254","ALDH1 PROTEIN EXPRESSION POSITIVE","pass"
"37","PRE-TREATED HER2-POSITIVE METASTATIC BREAST CANCER","ERBB2","positive",NA,"protein expression & amplification","VINORELBINE, TRASTUZUMAB EMTANSINE",NA,"I,II","advanced, second","Maximum Tolerated Dose (MTD), PFS, adverse events","NCT02658084","VALID",NA,"DB00361,DB05773","5311497, NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"38","HIGH RISK, NODE POSITIVE, EARLY STAGE, HORMONE RECEPTOR POSITIVE, HUMAN EPIDERMAL RECEPTOR 2 NEGATIVE, BREAST CANCER","ESR1, PR, HER2, ki-67","positive, positive, negative, ≥20%","AND,AND,AND","protein expression, protein expression, protein expression & amplification, protein expression","ABEMACICLIB, STANDARD ADJUVANT ENDOCRINE THERAPY",NA,"III","not Advanced, first","Invasive Disease Free Survival (IDFS)","NCT03155997",NA,NA,"DB12001,NA","46220502, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","EFO_0005537","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND KI-67 PROTEIN EXPRESSION ≥20%","pass"
"39","HER2 POSITIVE INVASIVE BREAST CANCER","ERBB2","positive",NA,"protein expression & amplification","FORETINIB, LAPATINIB",NA,"I,II","advanced,second","Toxicity, maximum administered dose and the recommended phase II dose","NCT01138384","VALID",NA,"DB12307,DB01259","42642645, 208908","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"40","INVASIVE BREAST CANCER","ERBB2","positive",NA,"protein expression & amplification","RAMUCIRUMAB, ERIBULIN",NA,"II","advanced,second","PFS","NCT01427933","VALID",NA,"DB05578,DB08871","NA, 17755248","ENSG00000141736","EFO_1000307","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"41","HORMONE-REFRACTORY METASTATIC BREAST CANCER","ESR1, PR, HER2","ER positive, PR positive, HER2 positive but no expression","AND,AND","protein expression, protein expression,","EVEROLIMUS, TRASTUZUMAB",NA,"II","advanced,second","PFS","NCT00912340",NA,NA,"DB01590,DB00072","6442177, 3001322","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"42","TRIPLE NEGATIVE RECURRENT OR ADVANCED BREAST CANCERBREAST CANCER","ESR1, PR, HER2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression,& amplification","ABX, CISPLATIN, GEMCITABINE, CISPLATIN",NA,"III","advanced,first, second","PFS","NCT02546934","VALID",NA,"NA,DB00515,DB00441,DB00515","71657619, 2767, 60750, 2767","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"43","METASTATIC HER2 POSITIVE BREAST CANCER","ERBB2","positive",NA,"protein expression,& amplification","T-DM1, ABRAXANE, LAPATINIB",NA,"I","advanced,second","Maximum Tolerable Dose","NCT02073916","VALID",NA,"DB05773,NA,DB01259","NA, 36314, 208908","ENSG00000141736","MONDO_0007254","failed","failed term"
"44","BREAST INVASIVE CARCINOMA","ESR1, PR","negative, negative","AND","protein expression, protein expression","APATINIB, PACLITAXEL, CISPLATIN",NA,"II,III","advanced,first, second","pathological complete remission","NCT03580395","VALID",NA,"DB14765,DB01229,DB00515","45139106, 36314, 2767","ENSG00000091831, ENSG00000134551","EFO_0000305","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","pass"
"45","BREAST CANCER",NA,NA,NA,NA,"NA",NA,NA,NA,"Diagnostic performance of the LightPath® Imaging System","NCT02666079",NA,NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"46","BREAST CANCER",NA,NA,NA,NA,"BEVACIZUMAB-800CW",NA,"I , II","not Advanced; second","Tumor-to-background ratio","NCT02583568",NA,NA,"NA","NA","ENSG00000183023","MONDO_0007254","NA NA NA","failed drug,no biomarker"
"47","BREAST CANCER",NA,NA,NA,NA,"EC17",NA,"I","not advanced; not for treatment","The ability of EC17 and the imaging system to detect FRA positive tumors","NCT01994369",NA,NA,"NA","135564966","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"48","BREAST CANCER",NA,NA,NA,NA,"PEGFILGRASTIM, DOXORUBICIN, CYCLOPHOSPHAMIDE",NA,"I","non-advanced and advanced;first","the incidence of febrile neutropenia (FN)","NCT03575520",NA,NA,"DB00019,DB00997,DB00531","NA, 443939, 2907","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
