"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"13","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"SIR-SPHERE","UNK","III","Advanced, First Line","Median overall survival time","NCT01482442","must not be eligible for surgical resection or transplantation, first line for advanced disease, can have prior treatment for primary tumor","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01482442","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"14","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"AG-013736","UNK","II","Advanced, Second Line","disease stabilization","NCT01273662","Inoperable tumor(s) and no applicable curative therapy. Not amenable to loco-regional , first line treatment must have been with sorafenib","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01273662","NA","6450551","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"15","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"TS-1, OXALIPLATIN","UNK, UNK","II","Advanced, First Line, Second Line","Time to progression (TTP)","NCT01429961","TS-1, Oxaliplatin (Drug combination called SOX), only second line treatment for those who have been treated with sorafenib as their first line treatment, presence of extrahepatic measurable lesion","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01429961","NA,DB00526","5386, 71301229","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"16","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"MAPATUMUMAB, SORAFENIB","TRAILR1, UNK","I, II","Advanced, First Line","Time to Progression-Blinded Independent Central Review (BICR) Assessment","NCT01258608","Barcelona Clinic Liver Cancer (BCLC) advanced stage (C) hepatocellular carcinoma, or BCLC intermediate stage (B) hepatocellular carcinoma if treatment with transarterial chemoembolization is not considered appropriate","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01258608","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"17","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"S-1, LEUCOVORIN","UNK, UNK","II","First Line, Second Line","DCR","NCT01533324",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01533324","NA,DB00650","5462310, 135403648","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"18","or unresectable Hepatocellular Carcinoma","absent",NA,NA,NA,"RO5323441, SORAFENIB","UNK, UNK","I","Advanced, First Line","Part I : Safety/dose-limiting toxicity: Incidence of adverse events, Part I: Determination of recommended Part II dose, Part II: Safety/tolerability: Incidence of adverse events","NCT01308723","Excludes patients with prior systemic treatment for metastatic hepatocellular carcinoma or patients who had tumor removed","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01308723","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug,no biomarker"
"19","Hepatocellular Carcinoma","absent",NA,NA,NA,"TRC 105, SORAFENIB","UNK, UNK","I, II","Advanced, First Line, Second Line","Phase I: Maximum Tolerated Dose (MTD) of TRC105 When Given With Standard-dose Sorafenib for Hepatocellular Cancer (HCC), Phase II: Time to Progression (TTP) for the Combination of TR105 With Sorafenib in Hepatocellular Cancer (HCC)","NCT01306058","Second Line treatment only if first line treatment was with sorafenib, Patients must have disease that is not amenable to potentially curative resection or ablative techniques. In addition, disease must not be amenable to or have progressed on transhepatic arterial chemoembolization (TACE). Patients must not be considered potential candidates for liver transplantation. This determination will be made after hepatobiliary surgical input at the NCI multidisciplinary conference.","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01306058","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"20","Hepatocellular Carcinoma","absent",NA,NA,NA,"ETHIODIZED OIL, DOXORUBICIN","UNK, UNK","III","First Line","disease-free survival","NCT01966133","Other Name: doxorubicin-lipiodol mixture, HCC patients received curative hepatectomy with negative resection margin, Drugs delievered using Transarterial chemoembolisation","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01966133","DB00965,DB00997","NA, 443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"21","Hepatic Carcinoma","absent",NA,NA,NA,"HUAIER GRANULE","UNK","IV","First Line","Incidence of Recurrence and Metastasis After Hepatectomy","NCT01770431","Radical hepatectomy has been performed for hepatocellular carcinoma, Barcelona clinic liver cancer(BCLC) stage A or B","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01770431","NA","NA","ENSG00000104313","EFO_0000313","ABSENT NA NA","failed drug,no biomarker"
"22","Advanced Hepatocarcinoma","absent",NA,NA,NA,"PRAVASTATIN, SORAFENIB","UNK, UNK","II","Advanced, First Line, Second Line","Advanced Hepatocarcinoma","NCT01418729",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01418729","DB00175,DB00398","16759173, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"23","Liver Cancer","absent",NA,NA,NA,"SORAFENIB TOSYLATE",NA,"II","First line","To assess anti-tumor activity of neoadjuvant sorafenib tosylate in tumor samples from patients with resectable hepatocellular carcinoma","NCT01182272","along with surgery","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01182272","NA","406563","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"24","Advanced hepatocellular carcinoma","absent",NA,NA,NA,"PEG-BCT-100",NA,"I/II","Advanced, Second line","Tumor response","NCT01092091",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01092091","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"25","Advanced hepatocellular carcinoma","AFP","Positive",NA,"Protein Expression","SORAFENIB TOSYLATE, VORINOSTAT",NA,"I","Advanced, Second line","Determine the appropriate Doses for the combination of sorafenib tosylate and vorinostat appropriate for phase II study in hepatocellular carcinoma (HCC)","NCT01075113",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01075113","NA,DB02546","406563, 5311","ENSG00000081051","EFO_0009260","AFP PROTEIN EXPRESSION POSITIVE","pass"
"26","Hepatocellular carcinoma","absent",NA,NA,NA,"SUNITINIB MALATE",NA,"II,III","First line","Overall survival, Occurrence of severe bleeding or liver failure","NCT01164202","must be done with chemoembolization","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01164202","NA","6456015","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"27","Liver Cancer","absent",NA,NA,NA,"DOXORUBICIN-ELUTING BEADS, SORAFENIB TOSYLATE",NA,"III","First line","To determine whether the addition of sorafenib tosylate to transarterial chemoembolization (TACE) with doxorubicin-eluting beads, compared to TACE alone, prolongs progression-free survival of patients with unresectable hepatocellular carcinoma.","NCT01324076","cannont be removed by surgery, inlcudes cheoembolization","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01324076","NA,NA","NA, 406563","ENSG00000104313","MONDO_0002691","ABSENT NA NA","failed drug,no biomarker"
"28","Hepatocellular carcinoma","absent",NA,NA,NA,"SORAFENIB TOSYLATE, PRAVASTATIN SODIUM",NA,"III","Advanced, Second line","To evaluate the effects of sorafenib tosylate and pravastatin versus sorafenib tosylate alone on overall survival of patients with hepatocellular carcinoma and Child-Pugh Class A cirrhosis.","NCT01075555","must also have cirrhosis","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01075555","NA,NA","406563, 16759173","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"29","Advanced hepatocellular carcinoma","absent",NA,NA,NA,"STA-9090"," Hsp90","I","Advanced, Second line","Dose escalation/de-escalation study will be performed in order to determine the Phase 2 dose of STA-9090 given once weekly in patients with advanced hepatocellular carcinoma. The dose limiting toxicities will be determined at each dose level.","NCT01665937",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01665937","NA","135564985","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"30","Advanced or locally metastatic Hepatocellular Carcinoma","absent",NA,NA,NA,"AXITINIB",NA,"II","Advanced, Second line","Overall Survival (OS","NCT01210495",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01210495","DB06626","6450551","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"31","Hepatocellular carcinoma","absent",NA,NA,NA,"188RE-SSS LIPIODOL",NA,"I","Advanded, First line","Maximal tolerated dose","NCT01126463","no ressection/transplant","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01126463","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"32","Advanced hepatocellular carcinoma","absent",NA,NA,NA,"SORAFENIB, CS-1008",NA,"II","Advanded, First line","time to progression (TTP) for chemotherapy naive subjects with advanced hepatocellular carcinoma (HCC)"," NCT01033240",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01033240","DB00398,NA","406563, 3921152","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"33","Advanced hepatocellular carcinoma","absent",NA,NA,NA,"APATINIB",NA,"II","Advanced, Second line","TTP (Time To Progression)","NCT01192971",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01192971","DB14765","45139106","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"34","Hepatocellular carcinoma","absent",NA,NA,NA,"RAMUCIRUMAB DP",NA,"III","Second line","Overall Survival (OS)","NCT01140347",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01140347","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"35","Advanced or Primary Hepatocellular Carcinoma","absent",NA,NA,NA,"SODIUM BUTYRATE",NA,"II","Advanded&non-advanced, First&Second line","Evaluating Tumor Response Rate"," NCT01308645","(I believe sb (which is the only phrase listed in the trial) means sodium butyrate : https://www.ncbi.nlm.nih.gov/pubmed/9626359 )","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01308645","NA","5222465","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"36","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"SILYBIN",NA,"I","Advanced, First&Second line","The maximum tolerated dose of siliphos in patients with advanced hepatocellular carcinoma ","NCT01129570",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01129570","NA","31553","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"37","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"DOXORUBICIN, SORAFENIB",NA,"II","Advanded, First line","Time to progression","NCT01272557",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01272557","DB00997,DB00398","443939, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"38","Hepatocellular Carcinoma","absent",NA,NA,NA,"DOXORUBICIN",NA,"I/II","First line","Histopathological correlation with surgically resected tumor","NCT01116635","docorubicin is loaded into superabsorbent polymer microspheres, must be surgically resectable","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01116635","DB00997","443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"39","Hepatocellular Carcinoma","absent",NA,NA,NA,"SORAFENIB",NA,"IV","Advanced, First","Total (Cumulative) Dose Delivery of Sorafenib, Cumulative Dose of Sorafenib","NCT01203787","different dosing of Sorafenib, requires unresectable and/or metastatic","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01203787","DB00398","406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"40","Advanced or metastaic Hepatocelluar Carcinoma","absent",NA,NA,NA,"BAY86-9766 MEK INHIBITOR, SORAFENIB","MEK, UNK","II","Advanced, First line","Disease Control Rate (DCR)","NCT01204177",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT01204177","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"41","Advanced liver cancer","absent",NA,NA,NA,"EVEROLIMUS",NA,"III","Advanced, Second line","Overall Survival (OS)","NCT01035229","advanced HCC whose disease progressed while on or after sorafenib treatment or who are intolerant to sorafenib.","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01035229","DB01590","6442177","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"42","Unresectable or Metastatic Hepatocellular Carcinoma","absent",NA,NA,NA,"TEMSIROLIMUS","mTOR","II","Advanced, Second line","Disease Progression","NCT01567930","must have received exactly one prior systemic therapy","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01567930","DB06287","6918289","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"43","Hepatocellular carcinoma","absent",NA,NA,NA,"SORAFENIB, PRAVASTATIN",NA,"III","Advanced, First&Second line","determination of the tumor according to the evaluation criteria of Response Evaluation Criteria in Solid Tumors","NCT01903694","Palliative Treatment of Child-Pugh A Hepatocellular Carcinoma, does not specify the requirement to include?exclude prior treatment","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01903694","DB00398,DB00175","406563, 16759173","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"44","Hepatocellular Carcinoma","absent",NA,NA,NA,"THALIDOMINE, TEGAFUR-URACIL","VEGF/bFGF, UNK","II","Second line","tumor recurrence","NCT02447679","to Decrease Hepatocellular Carcinoma Recurrence","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT02447679","NA,DB09327","5426, 104747","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"45","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"SORAFENIB, CISPLATIN/FLUOROURACIL",NA,"III","Advanced, First Line, Second line","Overall survival","NCT01214343","Does not state whether or not prior chemotherapy is needed or excluded","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01214343","DB00398,NA","406563, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"46","Primary Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"SORAFENIB, ZOLEDRONIC ACID",NA,"II","Advanced, First&Second line","numbers of adverse events","NCT01259193","only requirement for other treatment(s) ""Concomitant anti-cancer therapy (except immunotherapy and Chinese traditional treatment"". Must be unresectable","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01259193","DB00398,DB00399","406563, 68740","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"47","Hepatocellular Carcinoma","absent",NA,NA,NA,"SORAFENIB",NA,"II","First line","Progression Free Survival, Overall Survival","NCT01217034","must be done with Transcatheter Arterial Chemoembolization (TACE)","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01217034","DB00398","406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"48","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"SORAFENIB, VT-122","UNK, COX-2/beta-adrenergic receptor","II","Advanced, First line","failure free survival","NCT01265576",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01265576","DB00398,NA","406563, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"49","advanced hepatoma","absent",NA,NA,NA,"CINOBUFACIN",NA,"II","Advanced, First line, Second line","The evaluation of the patient's respondence for the therapy is carried out every phase, according to RECIST:CR,PR,SD and PD","NCT01236690","Combining the Arterial Embolotherapy, never states if prior treatment is an exclusion or a criteria","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01236690","NA","NA","ENSG00000104313","EFO_0005856","ABSENT NA NA","failed drug,no biomarker"
