"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"20",20,"BREAST CANCER","ERBB2","Positive","NA","Protein Expression","PERTUZUMAB, TRASTUZUMAB, ERIBULIN","UNK, UNK, UNK","III","First Line","PFS","NCT03264547","Patients cannot plan to undergo radical surgery if they respond to a treatment, Active comparator is Pertuzumab, Trastuzumab, Docetaxel, Paclitaxel","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03264547",1,"DB06366,DB00072,DB08871","NA, 3001322, 17755248","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"21",21,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CABOZANTINIB, ATEZOLIZUMAB","UNK, UNK","I, II","Advanced, Second Line","Dose Escalation: MTD/Recommended Dose, Dose Expansion: ORR","NCT03170960","Other cancers included in trial, TNBC subjects who have radiographically progressed during or following treatment with at least one prior systemic anticancer therapy. Prior treatment with ICIs (anti-PD1 or anti-PD-L1) is allowed if given in combination with chemotherapy.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03170960",1,"DB08875,DB11595","25102846, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"22",22,"DUCTAL BREAST CARCINOMA","ESR1","Positive","NA","Protein Expression","CONJUGATED ESTROGENS, BAZEDOXIFENE","UNK, UNK","II","First Line, Second Line","Change in Ki-67 protein expression","NCT02694809","Must have surgical therapy. Women presenting after excision with positive margins are eligible. Ki-67, Cox-2, P-16, expression in immediately adjacent tissue is similar to what is found in DCIS","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02694809",1,"DB00286,DB06401","23667301, 154256","ENSG00000091831","EFO_0000186","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"23",23,"RECURRENT OR METASTATIC BREAST CANCER","ESR1, AKT1, AKT2, AKT3","Positive, Postive, Positive, Positive","AND, AND/OR, AND/OR","Protein Expression, Mutation, Mutation, Mutation","AZD5363, FULVESTRANT","UNK, UNK","I","Advanced, Second Line","number of patients with an objective response rate (ORR) of AZD5363","NCT03310541","Patients must be post-menopausal, other cancers are included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03310541",1,"NA,DB00947","25227436, 104741","ENSG00000091831, ENSG00000142208, ENSG00000105221, ENSG00000117020","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND AKT1 MUTATION POSTIVE AND/OR AKT2 MUTATION POSITIVE AND/OR AKT3 MUTATION POSITIVE","pass"
"24",24,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CAN04","IL1RAP","I","Advanced, Second Line","Incidence of Treatment-Emergent Adverse Events","NCT03267316","Other cancers included in trial, TNBC only listed in dose escalation cohort","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03267316",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"25",25,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, EGFR","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","AVID100","UNK","I, II","Advanced, Second Line","Phase 1a: Determine safety and tolerability of AVID100, Phase 2a: Evaluation of the preliminary antineoplastic effects of AVID100","NCT03094169","Other cancers included in trial, Patients with triple negative breast cancer who are either EGFR 2+ or EGFR 3+ by validated IHC assay.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03094169",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000146648","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND EGFR PROTEIN EXPRESSION POSITIVE","failed drug"
"26",26,"BREAST CANCER","ERBB2","Positive","NA","Protein Expression","PF-06804103","UNK","I","Second Line","Number of participants with Dose-Limiting Toxicities (DLTs)","NCT03284723","Other cancers included in trial, patients must be resistant to standard therapy or for which no standard therapy is available","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03284723",1,"NA","NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"27",27,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","DENOSUMAB, NAB-PACLITAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE, CARBOPLATIN","RANKL, UNK, UNK, UNK, UNK","II","First Line","pcR rates of neoadjuvant treatment with or without denosumab in addition to nab-paclitaxel and EC, pcR (ypT0 ypN0) rates of nab-Paclitaxel weekly for 12 weeks or 2 of 3 weeks for 12 weeks","NCT02682693","Patients must have stage cT1c - cT4a-d disease. Testing drugs in different combinations","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02682693",1,"DB06643,NA,DB00445,DB00531,DB00958","NA, 36314, 65348, 2907, 56840877","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"28",28,"BREAST CANCER","ERBB2, ESR1, PGR","Positive, Negative, Negative","AND, AND","Protein Expression/Protein Expression & Amplification, Protein Expression, Protein Expression","DENOSUMAB, NAB-PACLITAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB","RANKL, UNK, UNK, UNK, UNK, UNK, UNK","II","First Line","pcR rates of neoadjuvant treatment with or without denosumab in addition to nab-paclitaxel and EC, pcR (ypT0 ypN0) rates of nab-Paclitaxel weekly for 12 weeks or 2 of 3 weeks for 12 weeks","NCT02682693","Patients must have stage cT1c - cT4a-d disease. Testing drugs in different combinations","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02682693",1,"DB06643,NA,DB00445,DB00531,DB00958,DB00072,DB06366","NA, 36314, 65348, 2907, 56840877, 3001322, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"29",29,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Postitive","AND","Protein Expression, Protein Expression","LXI-15029, EXEMESTANE","UNK, UNK","I","Advanced, Second Line","Number of participants with adverse events","NCT03125746","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03125746",1,"NA,DB00990","NA, 60198","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSTITIVE","failed drug"
"30",30,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","LY3381916, LY3300054","UNK, PDL1","I","Advanced, First Line, Second Line","Number of Participants with Dose Limiting Toxicities (DLTs)","NCT03343613","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03343613",1,"NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"31",31,"DUCTAL CARCINOMA","ESR1","Positive","NA","Protein Expression","AFIMOXIFENE, TAMOXIFEN CITRATE","UNK, UNK","II","First Line, Second Line","Ki67 labeling assessed by standard immunohistochemistry","NCT02993159","Both tested as monotherapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02993159",1,"DB04468,NA","5352135, 2733525","ENSG00000091831","EFO_0006318","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"32",32,"METASTATIC OR UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","OLAPARIB, ONALESPIB","PARP, UNK","I","Advanced, Second Line","Maximum tolerated dose","NCT02898207","Other cancers included in trial, TNBC needs to have metastatic disease and patients with an in breast recurrence are not eligible; up to 4 prior lines in the recurrent setting for patients with triple-negative breast cancer are allowed, or the dose expansion cohort, patients with triple-negative breast cancer may not be BRCA1/2 germline mutation carriers (nothing mentioned about the dose escalation cohort), does not mention somatic mutations, left out of biomarker requirements","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02898207",1,"DB09074,DB06306","23725625, 11955716","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"33",33,"BREAST CANCER","absent","NA","NA","NA","PACLITAXEL","UNK","UNK","First Line","Response to paclitaxel","NCT03096418","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03096418",1,"DB01229","36314","ENSG00000104313","MONDO_0007254","ABSENT NA NA","no biomarker"
"34",34,"METASTATIC INFLAMMATORY BREAST CANCER","ERBB2, ESR1, PGR","Positive/Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, COBIMETINIB, ERIBULIN","UNK, MEK, UNK","II","Advanced, Second Line","Overall response rate (ORR) calculated per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1","NCT03202316","Patients with recurrent or metastatic IBC after standard systemic therapy are eligible; patients who have disease progression while receiving standard anthracycline or taxane based neoadjuvant therapy are also eligible. a. patients with HER2-positive disease must have had at least 2 lines of anti-HER2 therapy, including Perjeta and Kadcyla; b. prior eribulin treatment is allowed","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03202316",1,"DB11595,DB05239,DB08871","NA, 71491931, 17755248","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
