"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"11","BREAST CANCER (I-II)","ESR1, PR, ERBB2, Ki67","Positive, Positive, Negative, Positive","AND, AND, AND","Protein Expression, Protein expression, Protein Expression, Protein expression","ONAPRISTONE","progesterone receptor","I","First Line, Second Line","Complete Cell Cycle Arrest","NCT04142892","Women must be post-menopausal","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04142892","DB12637","5311505","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"12","METASTATIC BREAST CANCER (III-IV)","ESR1, ERBB2","Positive, Negative","AND","Protein Expression, Protein Expression","PEMBROLIZUMAB, PEGYLATED LIPOSOMAL DOXORUBICIN","PD1, Topoisomerase II/DNA","I, II","Advanced, Second Line","To establish safe dose of PLD when delivered in combination with pembrolizumab, To evaluate the Tumor Response Rate according to Response Evaluation Criteria in Solid Tumors (RECIST) after 9 weeks (3 Cycles) of treatment in patients with measurable disease","NCT03591276","Endocrine-resistant breast cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03591276","DB09037,NA","NA, NA","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"13","BREAST CANCER","ERBB2","Positive",NA,"Protein Expression & Amplification","PYROTINIB, CAPECITABINE","ERBB2, DNA/RNA/Protein Synthesis","II","Advanced, Second Line","Objective Response Rate(ORR)","NCT03923166",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03923166","DB14993,DB01101","51039030, 60953","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"14","LOCALLY ADVANCED OR METASTATIC LUMINAL B BREAST CANCER","ESR1, ERBB2, Ki67","Positive, Negative, Positive","AND, AND","Protein Expression, Protein expression, Protein Expression","PEMBROLIZUMAB, PACLITAXEL","PDL, Bcl2","II","Advanced, First Line","Progression-free survival, Overall Survival","NCT03841747","in patients with locally advanced or metastatic ER-positive, ERBB2-negative, Luminal B breast cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03841747","DB09037,DB01229","NA, 36314","ENSG00000091831, ENSG00000141736, ENSG00000148773","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"15","BREAST CANCER (I-III)","ERBB2","Positive",NA,"Protein Expression &Amplification/Protein Expression","PYROTINIB, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB, EPRIRUBICIN, CYCLOPHOSPHAMIDE","ERBB2, GP60/Bcl2, ERBB2, Topoisomerase II/DNA, DNA","II","First Line","Percentage of Participants With Total Pathologic Complete Response (tpCR)","NCT04066790",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04066790","DB14993,NA,DB00072,NA,DB00531","51039030, NA, 3001322, NA, 2907","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","pass"
"16","BREAST CANCER (II-III)","ERBB2","Positive",NA,"Protein Expression & Amplification/Protein Expression","PEGYLATED LIPOSOMAL DOXORUBICIN, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB","Topoisomerase II/DNA, GP60/Bcl2, ERBB2","I, II","First Line","Pathological complete response(pCR) rate","NCT03994107","the first phase aims to determine the maximum tolerated dose (MTD) of PLD, and the second phase will explore the efficacy and safety of the regimen.","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03994107","NA,NA,DB00072","NA, NA, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","failed drug"
"17","BREAST CANCER (I-III)","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","GDC-9545","ESR1","I","First Line","Change from Baseline in Tumor Cell Proliferation Measured by Ki67 Expression Between Pre- and Post-Treatment Tumor Biopsy Samples","NCT03916744","must be operable, postmenopausal, found GDC-9545 target at https://www.cancer.gov/publications/dictionaries/cancer-drug/def/792379, hormone receptor status needs to be known","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03916744","NA","NA","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"18","BREAST CANCER","ERBB2","Positive","AND","Protein Expression","PYROTINIB","ERBB2","III","First Line, Second Line","Invasive Disease-free Survival (iDFS)","NCT03980054","Early stage high-risk breast cancer, first line for those who have lymph node mestastases, requires treatment with adjuvant trastuzumab","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03980054","DB14993","51039030","ENSG00000141736","MONDO_0007254","failed","failed term"
"19","TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PR, BRACA1, BRACA2","Negative, Negative, Negative, Negative, Negative","AND, AND, AND, AND","Protein Expression, Protein expression, Protein Expression, Mutation, Mutation","ZEN003694, TALAZOPARIB","Bromodomain, PARP","II","Advanced, Second Line","Part 1 and Part 2: Incidence of of treatment-related adverse events (AE) and treatment-related serious adverse events (SAE), Part 1: Incidence of dose-limiting toxicities (DLT), Part 2: Objective response rate (ORR) defined as a complete response (CR), partial response (PR) or stable disease (SD ≥ 4 cycles) by RECIST 1.1","NCT03901469",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03901469","NA,DB11760","NA, 135565082","ENSG00000141736, ENSG00000091831, ENSG00000134551, NA, NA","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND BRACA1 MUTATION NEGATIVE AND BRACA2 MUTATION NEGATIVE","failed drug"
"20","METASTATIC BREAST CANCER","ERBB2, ESR1, PR","Positive, Positive, Positive","AND, AND/OR","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","LETROZOLE, PYROTINIB, SHR6390","Aromatase, ERBB2, CDK4/CDK6","I, II","Advanced, First Line, Second Line","The number of patients in the Phase 1b part of the study with any adverse events (AE), The number of patients with progression-free survival (PFS)","NCT03772353","SHR6390 found on NCI Drug Dictionary, The study will enroll natural postmenopausal women, or women who have undergone bilateral oophorectomy.","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03772353","DB01006,DB14993,NA","3902, 51039030, NA","ENSG00000141736, ENSG00000091831, ENSG00000134551","EFO_1000984","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","pass"
"21","NON-METASTATIC INVASIVE BREAST CANCER","ERBB2, ESR1, PR","Negative, Positive/Negative, Positive/Negative","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","CAPECITABINE","DNA/RNA/Protein Synthesis","I","Second Line","Percentage of patients who complete concurrent capecitabine-radiotherapy","NCT03958721","capecitabine-radiotherapy regimen, must complete radiation therapy, First line cannot be capecitabine or 5-FU containing or Hormone receptor therapies","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03958721","DB01101","60953","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"22","BREAST NEOPLASMS","ERBB2","Positive",NA,"Protein Expression","DOCETAXEL, CYCLOPHOSPHAMIDE, TRASTUZUMAB","microtubles/VEGF, DNA, ERBB2","III","First Line","Feasibility of performing a pragmatic clinical trial with an Integrated Consent Model.","NCT03705429","early stage, low risk ERBB2+ Breast Cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03705429","DB01248,DB00531,DB00072","148124, 2907, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"23","BREAST CANCER (IIA-III)","ERBB2","Positive",NA,"Protein Expression","PYROTINIB","ERBB2","II","First Line","pCR","NCT04126525","invasive ERBB2 positive breast cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04126525","DB14993","51039030","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"24","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","SAR439859","ESR1","I","Advanced, Second Line","Investigational medicinal product (IMP)-related dose limiting toxicities (DLTs)","NCT03816839","found SAR439859 on NCI Drug Dictionary, women must be postmenopausal. Locally advanced and unable to perform radiation or surgery and/or metastatic","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03816839","NA","130232326","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"25","BREAST CANCER","ERBB2, ESR1, PR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","CAPECITABINE","DNA/RNA/Protein Synthesis","II","Advanced, Second Line","2-year DFS (Disease Free Survival rate in two years)","NCT03638648","Neoadjuvant chemotherapy regimen should include anthracyclines and taxane, Clinical stage cT1-4cN0-3M0 (AJCC 8th)","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03638648","DB01101","60953","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","pass"
"26","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC BREAST CANCER","ERBB2, ESR1, PR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","IPATASERTIB, PALBOCICLIB, FULVESTRANT","Akt, CDK4/CDK6, ER","I, III","Advanced, Second Line","Progression-Free Survival (PFS) in Intent-to-Treat (ITT), as determined by the investigator according to Response Evaluation Criteria in Solid Tumors, Version 1.1 (RECIST v1.1), Progression-Free Survival (PFS) in Patients with PIK3CA/AKT1/PTEN Altered Tumors, as determined by the investigator according to Response Evaluation Criteria in Solid Tumors, Version 1.1 (RECIST v1.1)","NCT04060862","Locally Advanced Unresectable or Metastatic Breast Cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04060862","DB11743,DB09073,DB00947","24788740, 11478676, 104741","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","pass"
"27","LOCALLY RECURRENT OR METASTATIC BREAST CANCER","ERBB2","Negative",NA,"Protein Expression","ERIBULIN, BALIXAFORTIDE","UNK, UNK","III","Advanced, Second Line","Progression Free Survival as assessed by Independent Review Committee","NCT03786094","Metastatic Breast Cancer currently of stage IV disease or unresectable locoregionally recurrent breast cancer","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03786094","DB08871,DB15370","17755248, 138752609","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"28","METASTATIC BREAST CANCER","CD205, ERBB2","Positive, Negative","AND","Protein Expression, Protein Expression","OBT076","CD205","I","Advanced, Second Line","Incidence of Adverse Events (AEs) as assessed by NCI CTCAE (Version 5)","NCT04064359",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04064359","NA","NA","ENSG00000054219, ENSG00000141736","EFO_1000984","CD205 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"29","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ESR1, Bcl2, ERBB2","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","VENETOCLAX, PALBOCICLIB, LETROZOLE","UNK, CDK4/CDK6, aromatase","I","Advanced, Second Line","Determination of the Maximum Tolerated Dose (MTD), dose-limiting toxicities (DLTs) and recommended phase 2 dose of drug combination of palbociclib, letrozole and venetoclax.","NCT03900884","Must be post menopausal or If pre or peri menopausal, patients must be willing to receive ovarian suppression/ablation, ERBB2 non-amplified (per ASCO/CAP guidelines); can have protein expression, just not amplification","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03900884","DB11581,DB09073,DB01006","49846579, 11478676, 3902","ENSG00000091831, ENSG00000171791, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND BCL2 PROTEIN EXPRESSION POSITIVE AND/OR ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"30","METASTATIC BREAST CANCER (IV)",NA,NA,NA,NA,"METFORMIN","UNK","I","Advanced, Second Line","disease progression through tumor size","NCT04143282","Must be a non-diabetic","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04143282","DB00331","14219","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"31","BREAST CANCER (I-III)","ERBB2, ESR1, PR, PDL1","Positive, Positive/Negative, Positive/Negative, Positive/Negative","AND, AND/OR, AND/OR","Protein Expression, Protein expression, Protein Expression, Protein expression","ATEZOLIZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB EMTANSINE","UNK, UNK, UNK, UNK, UNK, UNK","III","First Line","Percentage of Participants with Pathological Complete Response (pCR) in the PD-L1-Positive Population (IC 1/2/3), pCR in the ITT Population","NCT03726879","early ERBB2-positive breast cancer (T2-4, N1-3, M0).","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT03726879","DB11595,DB00997,DB00531,DB01229,DB06366,DB05773","NA, 443939, 2907, 36314, NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"32","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive",NA,"Protein Expression & Amplification/Protein Expression","FS-1502","ERBB2","I","Advanced, Second Line","Dose limiting toxicity (DLT) within 28 days of first single dose of FS-1502, Overall response rate (ORR) by measurement of target lesions","NCT03944499","Patients with ERBB2 expressed advanced malignant solid tumor had failed to standard therapy (including surgery, chemotherapy, radiation therapy or biotherapy), or no standard therapy is available","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT03944499","NA","2760428","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","pass"
"33","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PR, PDL1","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein expression, Protein Expression","IPI-549, ATEZOLIZUMAB, NAB-PACLITAXEL","PI3Kgamma, PDL1, microtubles","II","Advanced, Second Line","Complete Response (CR) rate (change in target lesion size)","NCT03961698","Trial also includes renal cell carcinoma","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT03961698","NA,DB11595,NA","91933883, NA, 36314","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","MONDO_0007254","failed","failed term"
"34","BREAST NEOPLASM","ESR1, ERBB2, Ki67","Positive, Negative, Positive","AND, AND","Protein Expression, Protein expression, Protein Expression","ALL-TRANS RETINOIC ACID, ANASTROZOLE","RARα, UNK","II","First Line","Evaluate the proportion of responder patients in the 2 arm (Aa vs. a) according to the Ki67 assessment, measured at baseline and after treatment, must be post menopausal","NCT04113863",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT04113863","NA,DB01217","444795, 2187","ENSG00000091831, ENSG00000141736, ENSG00000148773","EFO_0003869","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"35","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PR","Positive, Positive/Negative, Positive/Negative","AND, AND/OR","Protein Expression & Amplification","PYROTINIB, CAPECITABINE","EGFR/ERBB2/HER4, UNK","II","Advanced, Second Line","Progression Free Survival (PFS)","NCT04001621","Patients must have trastuzumab resistance: Progression during or within 12 months after treatment in neoadjuvant or adjuvant setting (at least 9 weeks of trastuzumab treatment); Or Progression during or within 6 months after treatment for locally advanced or metastatic disease in the first-line setting (at least 6 weeks of trastuzumab treatment).","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT04001621","DB14993,DB01101","51039030, 60953","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","failed","failed term"
