"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG282615554","BRIVARACETAM","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","epilepsy","Ben","FDA",NA
"BiomarkerKG816316872","CABOZANTINIB","RET",NA,"RET GENETIC OTHERS NA","non-small-cell lung cancer","Ben","FDA",NA
"BiomarkerKG1533469514","CAPECITABINE","DPYD",NA,"DPYD MUTATION NA","Colorectal cancer,reast cancer","Ben","FDA",NA
"BiomarkerKG205847830","CARBAMAZEPINE","HLA-B, HLA-A","AND/OR","HLA-B POLYMORPHISM NEGATIVE AND/OR HLA-A POLYMORPHISM NEGATIVE","Brivaracetam,epilepsy,anticonvulsants","Ben","FDA",NA
"BiomarkerKG541509081","CARGLUMIC ACID","NAGS",NA,"NAGS PROTEIN EXPRESSION NA","Inborn Errors of Metabolism,high ammonia levels","Ben","FDA",NA
"BiomarkerKG1069940068","CARIPRAZINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","schizophrenia,Bipolar I disorder","Ben","FDA",NA
"BiomarkerKG1900108140","CARISOPRODOL","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","Skeletal muscle diseas","Ben","FDA",NA
"BiomarkerKG-1557071629","CARVEDILOL","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","Heart failure,high blood pressure,Heart disease","Ben","FDA",NA
"BiomarkerKG900270885","CELECOXIB","CYP2C9",NA,"CYP2C9 POLYMORPHISM NA","Arthritis, ankylosis and menstrual pain,Rheumatoid arthritis","Ben","FDA",NA
"BiomarkerKG570155103","CEFTRIAXONE","G6PD",NA,"G6PD POLYMORPHISM NA","Treat or prevent bacterial infections","Ben","FDA",NA
"BiomarkerKG-413895656","CERITINIB","ALK",NA,"ALK MUTATION NA","Lung cancer","Ben","FDA",NA
"BiomarkerKG-2121880163","CERLIPONASE ALFA","TPP1",NA,"TPP1 MUTATION NA","Type 2 disease of ceroid lipofuscinosis (CLN2)","Ben","FDA",NA
"BiomarkerKG1928793512","CETUXIMAB","RAS",NA,"RAS MUTATION NA","cancer of the head and neck","Ben","FDA",NA
"BiomarkerKG1667727299","CRIZANLIZUMAB","HBB",NA,"HBB MUTATION NA","people with sickle cell disease","Ben","FDA",NA
"BiomarkerKG-1839732767","CRIZOTINIB","ROS1",NA,"ROS1 GENE FUSION NA"," lung cancer","Ben","FDA",NA
"BiomarkerKG-1229781644","DABRAFENIB","RAS",NA,"RAS MUTATION NA","skin cancer (melanoma)","Ben","FDA",NA
"BiomarkerKG-210842937","DENILEUKIN DIFTITOX","IL2RA
",NA,"IL2RA PROTEIN EXPRESSION NA","leukemia","Ben","FDA",NA
"BiomarkerKG779147928","EFAVIRENZ","CYP2B6",NA,"CYP2B6 POLYMORPHISM NA"," HIV infection","Ben","FDA",NA
"BiomarkerKG-1440571084","ELAGOLIX","SLCO1B1",NA,"SLCO1B1 PROTEIN EXPRESSION NA","moderate to severe pain caused by endometriosis.","Ben","FDA",NA
"BiomarkerKG-1362059301","ENASIDENIB","IDH2",NA,"IDH2 MUTATION NA","acute myeloid leukemia (AML) in adults with an IDH2 mutation.","Ben","FDA",NA
"BiomarkerKG-622383070","ENTRECTINIB","NTRK",NA,"NTRK GENE FUSION NA","Solid tumor","Ben","FDA",NA
"BiomarkerKG-1869766997","ESCITALOPRAM","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","Depression","Ben","FDA",NA
"BiomarkerKG-998821726","ETEPLIRSEN","DMD",NA,"DMD MUTATION NA","Duchenne muscular dystrophy","Ben","FDA",NA
"BiomarkerKG363506879","FLUOROURACIL","DPYD",NA,"DPYD MUTATION NA","skin cancer","Ben","FDA",NA
"BiomarkerKG-23249570","GILTERITINIB","FLT3",NA,"FLT3 MUTATION NA","myelomatosis","Ben","FDA",NA
"BiomarkerKG1859447834","IMATINIB","KIT，FIP1L1-PDGFRA","AND","KIT MUTATION NEGATIVE AND FIP1L1-PDGFRA GENE FUSION POSITIVE","Aggressive Systemic Mastocytosis","Ben","FDA",NA
"BiomarkerKG1151651722","IMATINIB","PDGFRB",NA,"PDGFRB TRANSLOCATION NA","Myelodysplastic","Ben","FDA",NA
"BiomarkerKG-1147713356","IMATINIB","FIP1L1-PDGFRA",NA,"FIP1L1-PDGFRA GENE FUSION NA","Hypereosinophilic Syndrome (HES) and","Ben","FDA",NA
"BiomarkerKG166414512","INDACATEROL","UGT1A1",NA,"UGT1A1 POLYMORPHISM NA","asthma","Ben","FDA",NA
"BiomarkerKG-539500812","INOTERSEN","TTR",NA,"TTR PROTEIN EXPRESSION NA","FAP(Familial amyloid polyneuropathy)","Ben","FDA",NA
"BiomarkerKG-848100356","IPILIMUMAB","HLA-A",NA,"HLA-A POLYMORPHISM NA","Melanoma","Ben","FDA",NA
"BiomarkerKG1476229835","ISOSORBIDE DINITRATE","CYB5R",NA,"CYB5R PROTEIN EXPRESSION NA","angina","Ben","FDA",NA
"BiomarkerKG650370835","SACITUZUMAB GOVITECAN, TALAZOPARIB","ESR1, PR, ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","stage IV (metastatic) breast cancer","Ben","clinicaltrials.gov","NCT04039230"
"BiomarkerKG-1577117464","TRASTUZUMAB, GDC-0084","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast cancer with progressive brain metastases","Ben","clinicaltrials.gov","NCT03765983"
"BiomarkerKG1651699518","NERATINIB, FULVESTRANT","ERBB2,ESR1","AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT03289039"
"BiomarkerKG-56300326","NIVOLUMAB, CABOZANTINIB","ESR1, PR, ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Metastatic Triple-negative Breast Cancer","Ben","clinicaltrials.gov","NCT03316586"
"BiomarkerKG1866168183","VINORELBINE, TRASTUZUMAB, AVELUMAB, UTOMILUMAB","ERBB2, PD1","AND","ERBB2 PROTEIN POSITIVE AND PD1 PROTEIN POSITIVE","Advanced HER2+ Breast Cancer","Ben","clinicaltrials.gov","NCT03414658"
"BiomarkerKG1845581618","FULVESTRANT, ENZALUTAMIDE","ESR1,ERBB2","AND","ESR1 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Her2- Advanced Breast Cancer","Ben","clinicaltrials.gov","NCT02953860"
"BiomarkerKG-1857510214","CARBOPLATIN, PACLITAXEL","HER2",NA,"HER2 PROTEIN NEGATIVE","HER2 (human epidermal growth factor 2) -negative breast adenocarcinoma","Ben","clinicaltrials.gov","NCT02546232"
"BiomarkerKG-384148472","PYROTINIB, FULVESTRANT","ESR1,PR,ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2+ Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT04033172"
"BiomarkerKG-898666061","T-DM1","ERBB2",NA,"ERBB2 PROTEIN & DNA POSITIVE","Stage I-III breast cancer","Ben","clinicaltrials.gov","NCT03587740"
"BiomarkerKG350394115","GEDATOLISIB, PTK7-ADC","ESR1,PR,ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Metastatic Triple-negative Breast Cancer","Ben","clinicaltrials.gov","NCT03243331"
"BiomarkerKG-231956791","RUXOLITINIB, CAPECITABINE","ERBB2",NA,"ERBB2 PROTEIN NEGATIVE","Advanced or Metastatic HER2-negative Breast Cancer","Ben","clinicaltrials.gov","NCT02120417"
"BiomarkerKG1161470093","VINORELBINE, LETROZOLE, ANASTROZOLE","ESR1,PR,ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Pretreated Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT02585388"
"BiomarkerKG-2021518099","TRASTUZUMAB, LEUKINE","HER2,HLA2, HLAA3, HLAA24, HLAA26,","AND, OR,OR,OR","HER2 POLYMORPHISM POSITIVE AND HLA2 POLYMORPHISM POSITIVE OR HLAA3 POLYMORPHISM POSITIVE OR HLAA24 POLYMORPHISM POSITIVE OR HLAA26 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","High-risk HER2+ Breast Cancer","Ben","clinicaltrials.gov","NCT02297698"
"BiomarkerKG1930391039","OLAPARIB, CARBOPLATIN, ANTHRACYCLINE, CYCLOPHOSPHAMIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Advanced HER2 Negative Breast Cancer","Ben","clinicaltrials.gov","NCT02561832"
"BiomarkerKG-129847157","DISULFIRAM, VINORELBIN, CISPLATIN, COPPER","ESR1, PR, ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Refractory Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT04265274"
"BiomarkerKG1480637455","RIBOCICLIB, T-DM1, TRASTUZUMAB, FULVESTRANT","ESR1, HER2","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & DNA POSITIVE","Metastatic Her2-Positive Breast Cancer","Ben","clinicaltrials.gov","NCT02657343"
"BiomarkerKG-1181188759","CARBOPLATIN, EVEROLIMUS","ESR1,PR,ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Advanced Triple-Negative Breast Cancer","Ben","clinicaltrials.gov","NCT02531932"
"BiomarkerKG-523699566","PALBOCICLIB, LETROZOLE","ESR1, PR, ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","HR+, HER2- Advanced Breast Cancer","Ben","clinicaltrials.gov","NCT02679755"
"BiomarkerKG478084554","CELECOXIB","HER2",NA,"HER2 PROTEIN EXPRESSION NEGATIVE","Primary Breast Cancer","Ben","clinicaltrials.gov","NCT02429427"
"BiomarkerKG-601071095","ENTINOSTAT, EXEMESTANE","ESR1,PR","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE","Recurrent or Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT02833155"
"BiomarkerKG-1855863757","TRASTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","metastasis breast cancer","Ben","clinicaltrials.gov","NCT01325207"
"BiomarkerKG2105163997","LETROZOLE, TAMOXIFEN, PALBOCICLIB, ENDOCRINE THERAPY","ESR1, PR, ERBB2","AND/OR,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Stage I to III histologically confirmed invasive carcinoma","Ben","clinicaltrials.gov","NCT02764541"
"BiomarkerKG-26493458","ZOLEDRONIC ACID","ESR1, PR, ERBB2","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Triple-negative breast cancer","Ben","clinicaltrials.gov","NCT04045522"
"BiomarkerKG1564751338","BEVACIZUMAB, PACLITAXEL","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","HER2-negative Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT01722968"
"BiomarkerKG117510885","TRASTUZUMAB, ERIBULIN, ERIBULIN MESYLATE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2-positive advanced or recurrent Breast Cancer","Ben","clinicaltrials.gov","NCT01432886"
"BiomarkerKG1152699269","BEVACIZUMAB","ALDH1",NA,"ALDH1 PROTEIN EXPRESSION POSITIVE","Primary breast cancer","Ben","clinicaltrials.gov","NCT01190345"
"BiomarkerKG1851134241","VINORELBINE, TRASTUZUMAB EMTANSINE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Pre-Treated HER2-Positive Metastatic Breast Cancer","Ben","clinicaltrials.gov","NCT02658084"
"BiomarkerKG1910318456","ABEMACICLIB, STANDARD ADJUVANT ENDOCRINE THERAPY","ESR1, PR, HER2, ki-67","AND,AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND KI-67 PROTEIN EXPRESSION ≥20%","High Risk, Node Positive, Early Stage, Hormone Receptor Positive, Human Epidermal Receptor 2 Negative, Breast Cancer","Ben","clinicaltrials.gov","NCT03155997"
"BiomarkerKG2134783297","FORETINIB, LAPATINIB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2 positive invasive breast cancer","Ben","clinicaltrials.gov","NCT01138384"
"BiomarkerKG257039608","RAMUCIRUMAB, ERIBULIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","invasive breast cancer","Ben","clinicaltrials.gov","NCT01427933"
"BiomarkerKG-129758161","APATINIB, PACLITAXEL, CISPLATIN","ESR1, PR","AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","breast invasive carcinoma","Ben","clinicaltrials.gov","NCT03580395"
"BiomarkerKG-1684481490","ENTINOSTAT, CAPECITABINE","ESR1, PR, ERBB2","OR, AND","ESR1 PROTEIN EXPRESSION POSITVE/NEGATIVE OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer, Breast Cancer","Tyler","clinicaltrials.gov","NCT03473639"
"BiomarkerKG669266934","TALAZOPARIB, SACITUZUMAB GOVITECAN","ESR1, PR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Triple-Negative Breast Cancer","Tyler","clinicaltrials.gov","NCT04039230"
"BiomarkerKG-1577117464","TRASTUZUMAB, GDC-0084","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","EBBR2-Positive Breast Cancer Brain Metastases","Tyler","clinicaltrials.gov","NCT03765983"
"BiomarkerKG-2085566364","ASPIRIN, TAMOXIFEN, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL","ESR1, ERBB2","AND","ESR1 PROTEIN EXPRESSION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage I-III)","Tyler","clinicaltrials.gov","NCT04038489"
"BiomarkerKG-969815521","NAB-PACLITAXEL","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","primary invasive breast cancer and clinical stage I - III, first option Ⅳ","Tyler","clinicaltrials.gov","NCT03959397"
"BiomarkerKG613560300","NIVOLUMAB, IPILIMUMAB","ERBB2, ER, PR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR ER PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","metastatic breast cancer","Tyler","clinicaltrials.gov","NCT03789110"
"BiomarkerKG1251372237","SIMVASTATIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer Stage (Stage IV)","Tyler","clinicaltrials.gov","NCT03324425"
"BiomarkerKG2106518615","PEMBROLIZUMAB, TAMOXIFEN","ESR1, ERBB2, PR","AND, AND/OR","ESR1 MUTATION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer Female","Tyler","clinicaltrials.gov","NCT03879174"
"BiomarkerKG351003137","APATINIB, PACLITAXEL, CISPLATIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer","Tyler","clinicaltrials.gov","NCT03982485"
"BiomarkerKG-1579678160","PALBOCICLIB","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer Stage (Stage II-III)","Tyler","clinicaltrials.gov","NCT03609047"
"BiomarkerKG1821783061","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB, EPIRUBICIN, CYCLOPHOSPHAMIDE, ATEZOLIZUMAB, TRASTUZUMAB EMTANSINE","ERBB2, ESR1, PR, PDl1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND PDL1 PROTEIN EXPRESSION POSITVE","Early-stage Breast Cancer","Tyler","clinicaltrials.gov","NCT03894007"
"BiomarkerKG1189074014","OLAPARIB, VORINOSTAT","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer Metastatic, Breast Cancer","Tyler","clinicaltrials.gov","NCT03742245"
"BiomarkerKG-388096993","NIRAPARIB, TRASTUZUMAB","ERBB2, ESR1, PR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVIE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer, EBBR2 Positive Breast Carcinoma","Tyler","clinicaltrials.gov","NCT03368729"
"BiomarkerKG1874182044","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","Invasive breast carcinoma","Tyler","clinicaltrials.gov","NCT04094896"
"BiomarkerKG-403694518","NIVOLUMAB, PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE, ENDOCRINE THERAPY","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","Tyler","clinicaltrials.gov","NCT04109066"
"BiomarkerKG1055961785","RUCAPARIB","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer  (Stage I-III)","Tyler","clinicaltrials.gov","NCT03911453"
"BiomarkerKG1604727650","ERIBULIN","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer","Tyler","clinicaltrials.gov","NCT03637868"
"BiomarkerKG1707410640","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","ERBB2, PR,ESR1","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Advanced Breast Cancer","Tyler","clinicaltrials.gov","NCT03822468"
"BiomarkerKG751083782","IPILIMUMAB, NIVOLUMAB","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","Tyler","clinicaltrials.gov","NCT03546686"
"BiomarkerKG145449339","PALBOCICLIB, EXEMESTANE, GOSERELIN","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","Tyler","clinicaltrials.gov","NCT02917005"
"BiomarkerKG1604727650","ERIBULIN","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","locally-recurrent or metastatic breast cancer","Tyler","clinicaltrials.gov","NCT03795012"
"BiomarkerKG233970655","RIBOCICLIB, LETROZOLE","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","non-metastatic primary luminal breast cancer (Stage II-III)","Tyler","clinicaltrials.gov","NCT03283384"
"BiomarkerKG-246127579","PEMBROLIZUMAB, TRASTUZUMAB BIOSIMILAR ABP 980, PERTUZUMAB","ERBB2, ESR1, PR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","Tyler","clinicaltrials.gov","NCT03988036"
"BiomarkerKG-1294313271","CFI-400945, DURVALUMAB","ERBB2, ESR1, PR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","Tyler","clinicaltrials.gov","NCT04176848"
"BiomarkerKG1823593815","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Premenopausal or perimenopausal locally advanced or metastatic breast cancer","Tyler","clinicaltrials.gov","NCT03839823"
"BiomarkerKG1596444665","NAB-PACLITAXEL","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Recurrent or metastatic breast cancer","Tyler","clinicaltrials.gov","NCT04194684"
"BiomarkerKG340012207","NIVOLUMAB, IPILIMUMAB","ESR1, PR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Triple negative Breast Cancer","Austin","clinicaltrials.gov","NCT03818685"
