"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"16","ENSG00000178999",4.01507274760213,3.62643284903897,288.620817955165,9.93276196092942e-65,1.85037422570154e-60,"AURKB","chr17","-","AURKB"
"17","ENSG00000157456",3.99445164400245,4.5203874584704,353.624488764874,6.88441856845838e-79,1.30673148847909e-74,"CCNB2","chr15","+","CCNB2"
"18","ENSG00000156970",3.94628966819763,4.34167357022181,358.561737151586,5.79112947821335e-80,1.10054624603967e-75,"BUB1B","chr15","+","BUB1B"
"19","ENSG00000117399",3.85392963344588,5.21071567372316,297.902344921984,9.43593677712446e-67,1.76385966174788e-62,"CDC20","chr1","+","CDC20"
"20","ENSG00000134057",3.78184761917671,5.61853505243804,434.569957833716,1.6453154896216e-96,3.1662451282278e-92,"CCNB1","chr5","+","CCNB1"
"21","ENSG00000007968",3.65012334519397,3.26126312691716,280.757744758362,5.13418142606459e-63,9.53982250777062e-59,"E2F2","chr1","-","E2F2"
"22","ENSG00000175305",3.49164615888019,3.43860642785837,187.432842457243,1.15532897885058e-42,2.01535587070694e-38,"CCNE2","chr8","-","CCNE2"
"23","ENSG00000166851",3.48217960172961,4.85353089515891,281.623569737638,3.325031409389e-63,6.18023588063134e-59,"PLK1","chr16","+","PLK1"
"24","ENSG00000164045",3.37725806714879,2.99574571941654,259.639587587868,2.05625819207059e-58,3.7837206992291e-54,"CDC25A","chr3","-","CDC25A"
"25","ENSG00000118785",3.3440306768967,7.99136160705269,116.913958599001,2.99795396451326e-27,4.69389652223841e-23,"SPP1","chr4","+","SPP1"
"26","ENSG00000181449",3.27303868049989,1.07589597497068,28.9163306574396,7.55730655454813e-08,0.000681593478154696,"SOX2","chr3","+","SOX2"
"27","ENSG00000145386",3.13925647166979,4.59944044271442,255.491184837748,1.64953944645922e-57,3.02838946975448e-53,"CCNA2","chr4","-","CCNA2"
"28","ENSG00000259288",3.05737470169353,3.19045906657114,132.286164984706,1.29534054684974e-30,2.09689727724036e-26,"PAK6","chr15","+","PAK6"
"29","ENSG00000141682",3.04305380765645,4.06465191795177,166.570461504197,4.15198403877054e-38,7.07830238929601e-34,"PMAIP1","chr18","+","PMAIP1"
"30","ENSG00000172379",2.94069761986548,6.02032194994008,139.103682365199,4.18044044976095e-32,6.84797950075341e-28,"ARNT2","chr15","+","ARNT2"
"31","ENSG00000085840",2.8569737017457,2.65728297512716,225.424964181546,5.93095182951472e-51,1.06834235305049e-46,"ORC1","chr1","-","ORC1"
"32","ENSG00000183010",2.82354320797217,6.78253280348839,300.091748533185,3.14617202584758e-67,5.88397092274014e-63,"PYCR1","chr17","-","PYCR1"
"33","ENSG00000079462",2.71016826950636,5.84097983278535,308.116095715228,5.61855366005626e-69,1.05297314143114e-64,"PAFAH1B3","chr19","-","PAFAH1B3"
"34","ENSG00000108821",2.7052416642003,12.5632158350356,127.597972756516,1.37445671141695e-29,2.20380389108593e-25,"COL1A1","chr17","-","COL1A1"
"35","ENSG00000117632",2.64247904208821,7.66016345416666,272.482767770623,3.26444860484558e-61,6.04314725729013e-57,"STMN1","chr1","-","STMN1"
"36","ENSG00000162063",2.56990290170125,4.81631014441577,348.341062725566,9.73641590378147e-78,1.84505081376659e-73,"CCNF","chr16","+","CCNF"
"37","ENSG00000115902",2.48708640620697,6.66567356332695,231.544933788294,2.74424629264748e-52,4.97010446061385e-48,"SLC1A4","chr2","+","SLC1A4"
"38","ENSG00000141736",2.46432235666886,9.59391390942653,67.6857746046196,1.91741953386423e-16,2.49532978137091e-12,"ERBB2","chr17","+","ERBB2"
"39","ENSG00000125538",2.41289269885342,2.12583928067937,109.136128490495,1.51514606353939e-25,2.32347648843766e-21,"IL1B","chr2","-","IL1B"
"40","ENSG00000115415",2.36591609205404,8.505669714555,173.765954566097,1.11351425415629e-39,1.91246073151343e-35,"STAT1","chr2","-","STAT1"
"41","ENSG00000127561",2.34010614365586,1.521344375712,73.9818320043059,7.88393103006335e-18,1.06322693871434e-13,"SYNGR3","chr16","+","SYNGR3"
"42","ENSG00000206053",2.33140279333498,7.88163040835388,481.069182689827,1.25052517703542e-106,2.41914095497503e-102,"HN1L","chr16","+","HN1L"
"43","ENSG00000197903",2.31619685974654,4.65139385061017,129.238731727283,6.01328717587922e-30,9.67237242240173e-26,"HIST1H2BK","chr6","-","HIST1H2BK"
"44","ENSG00000095739",2.27787519017411,6.27076695817946,66.4127723148583,3.65724684555819e-16,4.72223712698474e-12,"BAMBI","chr10","+","BAMBI"
"45","ENSG00000109084",2.25812015066852,5.29416133792498,153.695033147145,2.70007987284291e-35,4.52425383493558e-31,"TMEM97","chr17","+","TMEM97"
"46","ENSG00000110092",2.24965699150327,9.06804900781292,110.402073289076,8.00013691475865e-26,1.23050105885903e-21,"CCND1","chr11","+","CCND1"
"47","ENSG00000149554",2.2102318016897,4.04423439154983,219.441521562559,1.19729913031194e-49,2.14795463977962e-45,"CHEK1","chr11","+","CHEK1"
"48","ENSG00000012048",2.19443325899651,4.2575469984704,168.867887387853,1.30748254901891e-38,2.23422617976351e-34,"BRCA1","chr17","-","BRCA1"
"49","ENSG00000132646",2.12062054193448,6.8334006878592,305.49699953899,2.09023862213207e-68,3.91438986766673e-64,"PCNA","chr20","-","PCNA"
"50","ENSG00000113810",2.11014406982095,6.59088462481471,242.873019376352,9.2955320979538e-55,1.69336708228424e-50,"SMC4","chr3","+","SMC4"
"51","ENSG00000004478",2.08961130789861,8.58768364676266,244.811204170454,3.51310103773824e-55,6.40895022314588e-51,"FKBP4","chr12","+","FKBP4"
"52","ENSG00000135750",2.04964256674338,4.77772051684859,54.8638764951909,1.29173509301969e-13,1.54943624407712e-09,"KCNK1","chr1","+","KCNK1"
"53","ENSG00000176749",2.0462527452951,2.5787781932581,136.25785533199,1.75231069285225e-31,2.85644166041846e-27,"CDK5R1","chr17","+","CDK5R1"
"54","ENSG00000143799",2.03646327090466,8.08741310544248,398.912850117416,9.4971721433725e-89,1.81937326750587e-84,"PARP1","chr1","-","PARP1"
"55","ENSG00000143653",2.021566421213,6.66964821646186,171.001219502905,4.47191797488745e-39,7.65950110738722e-35,"SCCPDH","chr1","+","SCCPDH"
"56","ENSG00000070081",2.01140312559964,7.28000493200183,165.076507703316,8.80231821847278e-38,1.49780246805533e-33,"NUCB2","chr11","+","NUCB2"
"57","ENSG00000185499",2.00896539418913,9.04294439249477,63.5253261007915,1.58318248211141e-15,2.01333316250109e-11,"MUC1","chr1","-","MUC1"
"58","ENSG00000141367",2.00233722897805,9.56413442288536,163.493550089735,1.95163922169029e-37,3.31583503765181e-33,"CLTC","chr17","+","CLTC"
"59","ENSG00000081041",-3.32872651401774,1.595507096372,361.997113642391,1.0344785841909e-80,1.96747481927267e-76,"CXCL2","chr4","-","CXCL2"
"60","ENSG00000169252",-3.24375677991193,1.75475018067805,628.588949583122,1.01324021542311e-138,1.9818978613676e-134,"ADRB2","chr5","+","ADRB2"
"61","ENSG00000213366",-3.03885519537096,4.95795074661226,514.038096843346,8.38778203250753e-114,1.62714583648614e-109,"GSTM2","chr1","+","GSTM2"
"62","ENSG00000132170",-2.71075055782175,3.45411733048836,441.294980587741,5.65730332442062e-98,1.0897097663499e-93,"PPARG","chr3","+","PPARG"
"63","ENSG00000106004",-2.61378945674884,1.67798898795698,296.027490848598,2.41694222489112e-66,4.51629824143155e-62,"HOXA5","chr7","-","HOXA5"
"64","ENSG00000157404",-2.61149714947609,5.4484409122458,263.756658108847,2.6042130139694e-59,4.8003458486498e-55,"KIT","chr4","+","KIT"
"65","ENSG00000221869",-2.48072670592424,5.3925634278947,349.079988365506,6.72180508587936e-78,1.27418537207929e-73,"CEBPD","chr8","-","CEBPD"
"66","ENSG00000177606",-2.06086817478577,7.7626015652821,296.302741610657,2.10521207798142e-66,3.93443085253948e-62,"JUN","chr1","-","JUN"
"67","ENSG00000135473",-2.00480611935736,5.08214554733046,993.814305970254,3.97024196948751e-218,7.85274159144934e-214,"PAN2","chr12","-","PAN2"
