"","Drug","drug_drugbank_standard","drug_pubchem","Enrichment.biomarker","biomarker_ensembl_standard","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","biomarker_term","Disease","diseases_EFO_MONDO_standard","Targets","curator","raw_table","source","source_id","ID"
"28","Boceprevir","DB08873","10324367","IFNL3
","ENSG00000197110","protein expression",NA,NA,"IFNL3 PROTEIN EXPRESSION NA","Hepatitis c infection","EFO_0004220","HCV NS3 protease","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",28
"29","Bosutinib","DB06616","5328940","BCR-ABL1
(Philadelphia 
chromosome)",NA,"translocation",NA,NA,"BCR-ABL1
(PHILADELPHIA 
CHROMOSOME) TRANSLOCATION NA","Oncology/Chronic myelogenous leukemia","MONDO_0001014","Abl; c-Src; MAPK;","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",29
"30","Brentuximab 
Vedotin (1)",NA,NA,"ALK","ENSG00000171094","mutation",NA,NA,"ALK MUTATION NA","Oncology/classical Hodgkin lymphoma,Anaplastic large cell lymphoma","EFO_0000574","ADCs Linker","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",30
"31","Brentuximab 
Vedotin (2)",NA,NA,"TNFRSF8
(CD30)",NA,"protein expression",NA,NA,"TNFRSF8
(CD30) PROTEIN EXPRESSION NA","Oncology/classical Hodgkin lymphoma,Anaplastic large cell lymphoma","EFO_0000574","ADCs Linker","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",31
"32","Brexpiprazole","DB09128","11978813","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/schizophrenia,Severe depression,Alzheimer's disease","EFO_0000249",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",32
"33","Brigatinib","DB12267","68165256","ALK","ENSG00000171094","mutation",NA,NA,"ALK MUTATION NA","Oncology/Non-small cell lung cancer that has spread to other parts of the body","EFO_0003060",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",33
"34","Brivaracetam","DB05541","9837243","CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","Neurology/epilepsy","EFO_0000474",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",34
"35","Cabozantinib","DB08875","25102846","RET","ENSG00000165731","genetic others",NA,NA,"RET GENETIC OTHERS NA","Oncology/non-small-cell lung cancer","EFO_0003060",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",35
"36","Capecitabine","DB01101","60953","DPYD","ENSG00000188641","mutation",NA,NA,"DPYD MUTATION NA","Colorectal cancer,reast cancer","EFO_0005842",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",36
"37","Carbamazepine 
(1)",NA,NA,"HLA-B, HLA-A","ENSG00000234745, ENSG00000206503","polymorphism, polymorphism","negative, negative","AND/OR","HLA-B POLYMORPHISM NEGATIVE AND/OR HLA-A POLYMORPHISM NEGATIVE","Neurology/Brivaracetam,epilepsy,anticonvulsants","EFO_0000474",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",37
"38","Carglumic Acid","DB06775","121396","NAGS","ENSG00000161653","protein expression",NA,NA,"NAGS PROTEIN EXPRESSION NA","Inborn Errors of Metabolism,high ammonia levels","Orphanet_68367",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",38
"39","Cariprazine","DB06016","25096873","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/schizophrenia,Bipolar I disorder","EFO_0000289",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",39
"40","Carisoprodol","DB00395","2576","CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","Rheumatology/Skeletal muscle diseas","EFO_0002461",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",40
"41","Carvedilol","DB01136","185395","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Cardiology/Heart failure,high blood pressure,Heart disease","EFO_0003777",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",41
"42","Celecoxib","DB00482","2662","CYP2C9","ENSG00000138109","polymorphism",NA,NA,"CYP2C9 POLYMORPHISM NA","Rheumatology/Arthritis, ankylosis and menstrual pain,Rheumatoid arthritis","EFO_0000685",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",42
"43","Ceftriaxone","DB01212","5479530","G6PD","ENSG00000160211","polymorphism",NA,NA,"G6PD POLYMORPHISM NA","Infectious Diseases/Treat or prevent bacterial infections","EFO_0005741",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",43
"44","Ceritinib","DB09063","57379345","ALK","ENSG00000171094","mutation",NA,NA,"ALK MUTATION NA","Oncology/Lung cancer","MONDO_0008903",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",44
"45","Cerliponase Alfa","DB13173",NA,"TPP1","ENSG00000166340","mutation",NA,NA,"TPP1 MUTATION NA","Inborn Errors of 
Metabolism/Type 2 disease of ceroid lipofuscinosis (CLN2)","Orphanet_68367",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",45
"46","Cetuximab (2)",NA,NA,"RAS","ENSG00000133703","mutation",NA,NA,"RAS MUTATION NA","Oncology/cancer of the head and neck/colorectal cancer","EFO_0005842",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",46
"47","Crizanlizumab","DB15271",NA,"HBB","ENSG00000244734","mutation",NA,NA,"HBB MUTATION NA","Hematology/people with sickle cell disease","EFO_1000636",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",47
"48","Crizotinib (2)",NA,NA,"ROS1","ENSG00000047936","gene fusion",NA,NA,"ROS1 GENE FUSION NA","Oncology/ lung cancer","MONDO_0008903",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",48
"49","Dabrafenib (3)",NA,NA,"RAS","ENSG00000133703","mutation",NA,NA,"RAS MUTATION NA","Oncology/skin cancer (melanoma)/ lung cancer","MONDO_0002898",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",49
"50","Denileukin Diftitox","DB00004",NA,"IL2RA
","ENSG00000134460","protein expression",NA,NA,"IL2RA PROTEIN EXPRESSION NA","Oncology/leukemia/lymphomas/T-cell lymphoma","EFO_0000574",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",50
"51","Duvelisib","DB11952","50905713","Chromosome 17p",NA,"deletion",NA,NA,"CHROMOSOME 17P DELETION NA","Oncology/ leukemia ，lymphoma","EFO_0009119",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",51
"52","Efavirenz","DB00625","64139","CYP2B6","ENSG00000197408","polymorphism",NA,NA,"CYP2B6 POLYMORPHISM NA","Infectious 
Diseases/ HIV infection","EFO_0005741",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",52
"53","Elagolix","DB11979","11250647","SLCO1B1","ENSG00000134538","protein expression",NA,NA,"SLCO1B1 PROTEIN EXPRESSION NA","Gynecology/moderate to severe pain caused by endometriosis.","EFO_0005115",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",53
"54","Elexacaftor, 
Ivacaftor, and 
Tezacaftor","DB15444,DB08820,NA","134587348, 16220172, NA","CFTR","ENSG00000001626","mutation",NA,NA,"CFTR MUTATION NA","Pulmonary/Repair the defective CFTR protein","EFO_0008499",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",54
"55","Elosulfase",NA,NA,"GALNS","ENSG00000141012","mutation",NA,NA,"GALNS MUTATION NA","Inborn Errors of 
Metabolism/mucopolysaccharidosis type IVA","Orphanet_68367",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",55
"56","Eltrombopag (3)",NA,NA,"Chromosome 7del",NA,"deletion",NA,NA,"CHROMOSOME 7DEL DELETION NA","Hematology/increase the number of platelets","EFO_0004309",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",56
"57","Eltrombopag (4)",NA,NA,"Chromosome 13del",NA,"deletion",NA,NA,"CHROMOSOME 13DEL DELETION NA","Hematology/increase the number of platelets","EFO_0004309",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",57
"58","Emapalumab-lzsg","DB14724",NA,"PRF1, RAB27A, 
SH2D1A, STXBP2, 
STX11, UNC13D, 
XIAP 
(Hemophagocytic 
Lymphohistiocytosis)","ENSG00000180644, ENSG00000069974, ENSG00000183918, ENSG00000076944, ENSG00000135604, ENSG00000092929, NA","mutation",NA,NA,"failed","Hematology/ primary hemophagocytic lymphohistiocytosis (HLH)","MONDO_0001082",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",58
"59","Enasidenib","DB13874","89683805","IDH2","ENSG00000182054","mutation",NA,NA,"IDH2 MUTATION NA","Oncology/acute myeloid leukemia (AML) in adults with an IDH2 mutation.","EFO_0000222",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",59
"60","Enfortumab 
Vedotin-ejfv",NA,NA,"NECTIN4","ENSG00000143217","protein expression",NA,NA,"NECTIN4 PROTEIN EXPRESSION NA","Oncology/advanced urothelial carcinoma， bladder cancer","EFO_0009260",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",60
"61","Entrectinib (2)",NA,NA,"NTRK","ENSG00000165300","gene fusion",NA,NA,"NTRK GENE FUSION NA","Oncology/Solid tumor","MONDO_0037255",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",61
"62","Erdafitinib (1)",NA,NA,"FGFR","ENSG00000068078","mutation, gene fusion",NA,NA,"failed","Oncology/Urothelial carcinoma","EFO_0008528",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",62
"63","Escitalopram (2)",NA,NA,"CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","Psychiatry/Depression","EFO_0003761",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",63
"64","Estradiol and 
Progesterone (3)",NA,NA,"SERPINC1
(Antithrombin III)",NA,"protein overexpression",NA,NA,"SERPINC1
(ANTITHROMBIN III) PROTEIN OVEREXPRESSION NA","Gynecology/Vasomotor disease","EFO_0003782",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",64
"65","Eteplirsen","DB06014",NA,"DMD","ENSG00000198947","mutation",NA,NA,"DMD MUTATION NA","Neurology/Duchenne muscular dystrophy","Orphanet_98896",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",65
"66","Fluorouracil (1)",NA,NA,"DPYD","ENSG00000188641","mutation",NA,NA,"DPYD MUTATION NA","Dermatology/skin cancer","MONDO_0002898",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",66
"67","Gilteritinib","DB12141","49803313","FLT3","ENSG00000122025","mutation",NA,NA,"FLT3 MUTATION NA","Oncology/myelomatosis","EFO_0001378",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",67
"68","Givosiran","DB15066","119058042","CPOX, HMBS, PPOX
","ENSG00000080819, ENSG00000256269, ENSG00000143224","protein expression",NA,NA,"failed","Gastroenterology/Acute liver porphyria","Orphanet_95157",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",68
"69","Ibrutinib (2)",NA,NA,"Chromosome 11q",NA,"deletion",NA,NA,"CHROMOSOME 11Q DELETION NA","Oncology/Chronic Lymphocytic Leukemia / Small Lymphocytic Lymphoma","EFO_0000095",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",69
"70","Imatinib (1)",NA,NA,"KIT，FIP1L1-PDGFRA","ENSG00000157404, ENSG00000282278","mutation, gene fusion","negative, positive","AND","KIT MUTATION NEGATIVE AND FIP1L1-PDGFRA GENE FUSION POSITIVE","Oncology/Aggressive Systemic Mastocytosis","MONDO_0017595",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",70
"71","Imatinib (2)",NA,NA,"BCR-ABL1
(Philadelphia 
chromosome)",NA,"translocation",NA,NA,"BCR-ABL1
(PHILADELPHIA 
CHROMOSOME) TRANSLOCATION NA","Oncology/Myeloid leukemia","MONDO_0004643",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",71
"72","Imatinib (3)",NA,NA,"PDGFRB","ENSG00000113721","translocation",NA,NA,"PDGFRB TRANSLOCATION NA","Oncology/Myelodysplastic/Myeloproliferative Diseases (MDS/MPD)","EFO_0000616",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",72
"73","Imatinib (4)",NA,NA,"FIP1L1-PDGFRA","ENSG00000282278","gene fusion",NA,NA,"FIP1L1-PDGFRA GENE FUSION NA","Oncology/Hypereosinophilic Syndrome (HES) and/or Chronic Eosinophilic Leukemia (CEL)","EFO_0004842",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",73
"74","Indacaterol","DB05039","6918554","UGT1A1","ENSG00000241635","polymorphism",NA,NA,"UGT1A1 POLYMORPHISM NA","Pulmonary/asthma","EFO_0000270",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",74
"75","Inotersen","DB14713","121493436","TTR","ENSG00000118271","protein expression",NA,NA,"TTR PROTEIN EXPRESSION NA","Neurology/FAP(Familial amyloid polyneuropathy)","EFO_0002945",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",75
"76","Ipilimumab (1)",NA,NA,"HLA-A","ENSG00000206503","polymorphism",NA,NA,"HLA-A POLYMORPHISM NA","Oncology/Melanoma","EFO_0000756",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",76
"77","Isosorbide Dinitrate","DB00883","6883","CYB5R","ENSG00000100243","protein expression",NA,NA,"CYB5R PROTEIN EXPRESSION NA","Cardiology/angina","EFO_0003913",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",77
"78","Talazoparib","DB11760","135565082","BRCA1, BRCA2","ENSG00000012048, ENSG00000139618","gene mutation","positive,positive","OR","failed","Metastatic breast cancer","EFO_1000984","PARP","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03990896",78
"79","Olaparib, Sapacitabine","DB09074,DB06365","23725625, 153970","BRCA1, BRCA2，ESR1, PR, ERBB2","ENSG00000012048, ENSG00000139618, ENSG00000091831, ENSG00000134551, ENSG00000141736","mutation, mutation,protein expression, protein expression & amplification, protein expression","positive,positive, negative, negative, negative","OR，AND,AND","failed","Metastatic HER2 negative breast cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03641755",79
"80","Sacituzumab Govitecan, Talazoparib","DB12893,DB11760","91668186, 135565082","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","stage IV (metastatic) breast cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT04039230",80
"81","Trastuzumab,GDC-0084","DB00072,DB15186","3001322, 57384863","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"failed","Breast cancer with progressive brain metastases","MONDO_0007254","HER2, PI3-kinase","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03765983",81
"82","Neratinib,Fulvestrant","DB11828,DB00947","9915743, 104741","ERBB2,ESR1","ENSG00000141736, ENSG00000091831","protein expression & amplification, protein expression","positive,positive","AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","EFO_1000984","HER2","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03289039",82
"83","Nivolumab,Cabozantinib","DB09035,DB08875","NA, 25102846","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Metastatic Triple-negative Breast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03316586",83
"84","Vinorelbine,Trastuzumab,Avelumab, Utomilumab","DB00361,DB00072,DB11945,DB15113","5311497, 3001322, NA, NA","ERBB2, PD1","ENSG00000141736, ENSG00000145335","protein, protein","positive,positive","AND","ERBB2 PROTEIN POSITIVE AND PD1 PROTEIN POSITIVE","Advanced HER2+ Breast Cancer","MONDO_0007254","PD1 ,HER2","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03414658",84
"85","Fulvestrant ,Enzalutamide","DB00947,DB08899","104741, 15951529","ESR1,ERBB2","ENSG00000091831, ENSG00000141736","protein expression & amplification, protein expression","positive,negative","AND","ESR1 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","ER+/Her2- Advanced Breast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02953860",85
"86","Eribulin Mesylate
, Pembrolizumab","NA,DB09037","17755248, NA","ER, PR, HER2, PD1","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000145335","protein expression, protein expression, protein expression & amplification","positive,positive,negative,positive","AND,AND,AND","failed","Metastatic Hormone Receptor Positive Breast Cancer","MONDO_0007254","cell proliferation, PD1","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03051659",86
"87","Carboplatin
, Paclitaxel","DB00958,DB01229","56840877, 36314","HER2","ENSG00000141736","protein","negative",NA,"failed","HER2 (human epidermal growth factor 2) -negative breast adenocarcinoma","EFO_0000305",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02546232",87
