"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.phase..comparator.","Clinical.stage.and.treatment.setting","Primary.end.point","ClinicalTrials.gov.reference","STATUS","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term"
"11","Metastatic Triple Negative Breast Cancer","BRCA1,BRCA2  ESR1, PR, ERBB2","positive,positive,negative,negative,negative","OR,AND,AND,AND","DNA, DNA, protein, protein,protein","Carboplatin, Nivolumab",",PD1","II","Advanced,","PFS","NCT03414684",NA,"DB00958,DB09035","56840877, NA","ENSG00000012048, NA, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"12","stage IV invasive breast cancer","ESR1, PR, ERBB2","positive/nagative,positive/nagative,negative",NA,"protein, protein,protein","Entinostat, Capecitabine",NA,"I","Advanced, second","maximum tolerated dose combination (MTDC) of entinostat and capecitabine, AEs","NCT03473639",NA,"DB11841,DB01101","4261, 60953","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"13","HR+/HER2+ Metastatic Breast Cancer","ESR1,PR,ERBB2","positive,positive,positive","AND,AND","protein expression, protein expression, protein expression & amplification","Pyrotinib, Fulvestrant",NA,"II","Advanced,","PFS","NCT04033172","VALID","DB14993,DB00947","51039030, 104741","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE"
"14","Stage I-III breast cancer","ERBB2","positive",NA,"protein & DNA","T-DM1",NA,"II","Advanced and non-advanced, first, second","PFS","NCT03587740","VALID","DB05773","NA","ENSG00000141736","MONDO_0007254","failed"
"15","Metastatic Hypermutated HER2-negative Breast Cancer","PD1 , CTLA-4,ERBB2","positive,positive,negative","AND,AND,AND","protein & DNA","Nivolumab, Ipilimumab","PD1 , CTLA-4","II","Advanced,second","Response Rate","NCT03789110","VALID","DB09035,DB06186","NA, NA","ENSG00000145335, ENSG00000163599, ENSG00000141736","MONDO_0007254","failed"
"16","primary invasive breast cancer","ER,PR,ERBB2","negative,negative,","AND,AND","protein, protein,protein& DNA","nab-paclitaxel",NA,"II","Advanced,","Pathological complete remission(pCR), PFS","NCT03959397",NA,"NA","36314","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"17","Advanced Hormone Receptor Positive Breast Cancer","PD1, ESR1,PR,ERBB2","PD1+,ER+, HER2-",NA,"protein & mutation,","Pembrolizumab, Tamoxifen","PD1,ER","II","Advanced, first line & second line","PFS, Overall Response Rate (ORR)","NCT03879174",NA,"DB09037,DB00675","NA, 2733526","ENSG00000145335, ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"18","Metastatic Triple-negative Breast Cancer","ESR1,PR,ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","Gedatolisib, PTK7-ADC",NA,"I","Advanced, second","Safety","NCT03243331","VALID","DB11896,NA","44516953, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"19","Advanced or Metastatic HER2-negative Breast Cancer","ERBB2","negative",NA,"protein","Ruxolitinib,Capecitabine
",NA,"II","Advanced","OS,","NCT02120417","VALID","DB08877,DB01101","25126798, 60953","ENSG00000141736","MONDO_0007254","failed"
"20","Pretreated Metastatic Breast Cancer","ESR1,PR,ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression, protein expression & amplification","Vinorelbine, Letrozole, Anastrozole",NA,"II","Advanced, second","PFS","NCT02585388","VALID","DB00361,DB01006,DB01217","5311497, 3902, 2187","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"21","High-risk HER2+ Breast Cancer","HER2,HLA2, HLAA3, HLAA24, HLAA26,","positive,positive,positive,positive,positive","AND, OR,OR,OR","polymorphism, polymorphism, polymorphism, polymorphism, protein expression & amplification","Trastuzumab, Leukine (GM-CSF)",NA,"II","Advanced,","DFS","NCT02297698","VALID","DB00072,NA","3001322, NA","ENSG00000141736, NA, NA, NA, NA","MONDO_0007254","HER2 POLYMORPHISM POSITIVE AND HLA2 POLYMORPHISM POSITIVE OR HLAA3 POLYMORPHISM POSITIVE OR HLAA24 POLYMORPHISM POSITIVE OR HLAA26 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE"
"22","Metastatic Breast Cancer","ESR1, PR, ERBB2","positive/nagative,positive/nagative,positive","AND,AND","protein expression, protein expression","Simvastatin",NA,"II","Advanced, second","Objective Response","NCT03324425",NA,"DB00641","54454","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_1000984","failed"
"23","Advanced HER2 Negative Breast Cancer","ERBB2","negative",NA,"protein expression,","Olaparib, Carboplatin, Anthracycline, Cyclophosphamide",NA,"I","Advanced, first line & second line","Safety","NCT02561832","VALID","DB09074,DB00958,NA,DB00531","23725625, 56840877, NA, 2907","ENSG00000141736","MONDO_0007254","failed"
"24","Refractory Metastatic Breast Cancer","ESR1, PR, ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression,protein expression,","Disulfiram,Vinorelbin, Cisplatin, Copper",NA,"II","Advanced, second","response rates","NCT04265274","VALID","DB00822,DB00361,DB00515,DB09130","3117, 44424639, 135804801, 23978","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE"
"25","Advanced/Metastatic Her2-Positive Breast Cancer","ESR1, HER2","positive,positive","AND","protein expression, protein expression & DNA","Ribociclib, T-DM1, Trastuzumab, Fulvestrant","Cyclin-Dependent Kinases (CDKs),HER2, ,","I,II","Advanced,","Maximum Tolerated Dose, Clinical Benefit Rate (CBR)","NCT02657343",NA,"DB11730,DB05773,DB00072,DB00947","44631912, NA, 3001322, 104741","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & DNA POSITIVE"
"26","Advanced Triple-Negative Breast Cancer","ESR1,PR,ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression","Carboplatin, Everolimus",NA,"II","Advanced, first line & second line","PFS","NCT02531932","VALID","DB00958,DB01590","56840877, 6442177","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE"
"27","HR+, HER2- Advanced Breast Cancer","ESR1, PR, ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression, protein expression","Palbociclib, Letrozole",NA,"IV","Advanced","averse events (AEs) or serious adverse events (SAEs)","NCT02679755",NA,"DB09073,DB01006","11431660, 3902","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE"
"28","Primary Breast Cancer","HER2","negative",NA,"protein expression","Celecoxib",NA,"III","Advanced or not Advanced, second","DFS","NCT02429427","VALID","DB00482","2662","ENSG00000141736","MONDO_0007254","failed"
"29","triple negative or HER2 positive breast cancer","ESR1,PR,HER2","negative,negative,negative/positive","AND,AND,AND","protein expression, protein expression & amplification","Xeloda",NA,"II,III","Advanced, second","Adverse reactions","NCT01662128",NA,"NA","60953","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_0005537","failed"
"30","Recurrent or Metastatic Breast Cancer","ESR1,PR","positive,positive","AND","protein expression, protein expression","Entinostat, Exemestane",NA,"I","Advanced, first line & second line","Adverse events","NCT02833155","VALID","DB11841,DB00990","4261, 60198","ENSG00000091831, ENSG00000134551","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE"
"31","metastasis breast cancer","ERBB2","positive",NA,"protein expression & amplification","Trastuzumab",NA,"I,II","Advanced, first line & second line","Number of Dose Limiting Toxicities (DLT)","NCT01325207","VALID","DB00072","3001322","ENSG00000141736","MONDO_0007254","failed"
"32","Stage I to III histologically confirmed invasive carcinoma","ESR1, PR, ERBB2","positive, positive, negative","AND/OR,AND","protein expression, protein expression, protein expression & amplification","Letrozole,Tamoxifen, Palbociclib, Endocrine Therapy",NA,"II","Advanced and not advanced, first line & second line","Anti-proliferative activity, CR","NCT02764541",NA,"DB01006,DB00675,DB09073,NA","3902, 2733526, 11431660, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0040677","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"33","Triple-negative breast cancer","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","Zoledronic Acid",NA,NA,"advanced, second","Pathologic complete response time","NCT04045522","VALID","DB00399","68740","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"34","HER2-negative Metastatic Breast Cancer","ERBB2","negative",NA,"protein expression & amplification","Bevacizumab, Paclitaxel",NA,"II","advanced, second","Identification of molecular biomarkers","NCT01722968","VALID","DB00112,DB01229","NA, 36314","ENSG00000141736","MONDO_0007254","failed"
"35","HER2-positive advanced or recurrent Breast Cancer","ERBB2","positive",NA,"protein expression & amplification","Trastuzumab, Eribulin, Eribulin mesylate",NA,"I","advanced, second","limiting toxicity (DLT)","NCT01432886","VALID","DB00072,DB08871,NA","3001322, 11354606, 17755248","ENSG00000141736","MONDO_0007254","failed"
"36","Primary breast cancer","ALDH1","positive",NA,"protein expression","bevacizumab",NA,"II","advanced and non-advanced, first","Measure of the anti-cancer stem cell activity","NCT01190345","VALID","DB00112","NA","ENSG00000165092","MONDO_0007254","failed"
"37","Pre-Treated HER2-Positive Metastatic Breast Cancer","ERBB2","positive",NA,"protein expression & amplification","Vinorelbine, Trastuzumab Emtansine",NA,"I,II","advanced, second","Maximum Tolerated Dose (MTD), PFS, adverse events","NCT02658084","VALID","DB00361,DB05773","5311497, NA","ENSG00000141736","MONDO_0007254","failed"
"38","High Risk, Node Positive, Early Stage, Hormone Receptor Positive, Human Epidermal Receptor 2 Negative, Breast Cancer","ESR1, PR, HER2, ki-67","positive, positive, negative, ≥20%","AND,AND,AND","protein expression, protein expression, protein expression & amplification, protein expression","Abemaciclib, Standard Adjuvant Endocrine Therapy",NA,"III","not Advanced, first","Invasive Disease Free Survival (IDFS)","NCT03155997",NA,"DB12001,NA","46220502, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","EFO_0005537","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND KI-67 PROTEIN EXPRESSION ≥20%"
"39","HER2 positive invasive breast cancer","ERBB2","positive",NA,"protein expression & amplification","Foretinib, Lapatinib",NA,"I,II","advanced,second","Toxicity, maximum administered dose and the recommended phase II dose","NCT01138384","VALID","DB12307,DB01259","42642645, 208908","ENSG00000141736","MONDO_0007254","failed"
"40","invasive breast cancer","ERBB2","positive",NA,"protein expression & amplification","Ramucirumab, Eribulin",NA,"II","advanced,second","PFS","NCT01427933","VALID","DB05578,DB08871","NA, 11354606","ENSG00000141736","EFO_1000307","failed"
"41","Hormone-Refractory Metastatic Breast Cancer","ESR1, PR, HER2","ER positive, PR positive, HER2 positive but no expression","AND,AND","protein expression, protein expression,","Everolimus, Trastuzumab",NA,"II","advanced,second","PFS","NCT00912340",NA,"DB01590,DB00072","6442177, 3001322","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"42","Triple negative recurrent or advanced breast cancerBreast Cancer","ESR1, PR, HER2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression,& amplification","ABX, cisplatin, Gemcitabine, Cisplatin",NA,"III","advanced,first, second","PFS","NCT02546934","VALID","NA,DB00515,DB00441,DB00515","71657619, 135804801, 60750, 135804801","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"43","Metastatic HER2 Positive Breast Cancer","ERBB2","positive",NA,"protein expression,& amplification","T-DM1, Abraxane, Lapatinib",NA,"I","advanced,second","Maximum Tolerable Dose","NCT02073916","VALID","DB05773,NA,DB01259","NA, 36314, 208908","ENSG00000141736","MONDO_0007254","failed"
"44","breast invasive carcinoma","ESR1, PR","negative, negative","AND","protein expression, protein expression","Apatinib, paclitaxel, cisplatin",NA,"II,III","advanced,first, second","pathological complete remission","NCT03580395","VALID","DB14765,DB01229,DB00515","45139106, 36314, 135804801","ENSG00000091831, ENSG00000134551","EFO_0000305","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE"
"45","breast cancer",NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostic performance of the LightPath® Imaging System","NCT02666079",NA,"NA","46891828","ENSG00000183023","MONDO_0007254","failed"
"46","breast cancer",NA,NA,NA,NA,"Bevacizumab-800CW",NA,"I , II","not Advanced; second","Tumor-to-background ratio","NCT02583568",NA,"NA","NA","ENSG00000183023","MONDO_0007254","failed"
"47","breast cancer",NA,NA,NA,NA,"EC17",NA,"I","not advanced; not for treatment","The ability of EC17 and the imaging system to detect FRA positive tumors","NCT01994369",NA,"NA","135564966","ENSG00000183023","MONDO_0007254","failed"
"48","Breast Cancer",NA,NA,NA,NA,"Pegfilgrastim, Doxorubicin, Cyclophosphamide",NA,"I","non-advanced and advanced;first","the incidence of febrile neutropenia (FN)","NCT03575520",NA,"DB00019,DB00997,DB00531","NA, 443939, 2907","ENSG00000183023","MONDO_0007254","failed"
