"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","Status","Validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term"
"21","TNBC Breast Cancer  (Stage I-III)","EBBR2, ESR1, PR","negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","Rucaparib","PDL1","I","Non-advanced and advanced, First line","Measurement of expression of PD-L1 by IHC via core biopsy","NCT03911453",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03911453","DB12332","9931954","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE"
"22","Breast Cancer Metastatic, Breast Cancer","ESR1, PR","Positive, Positive","AND/OR","protein expression, protein expression","GMI-1359","CXCR4/E-selectin/sialyl-Lewis x antigen","I","Non-advanced and advanced, First line","Occurrences of dose-limiting toxicities (DLT) including protocol-defined adverse events (AEs)/serious adverse events (SAEs), and/or laboratory abnormalities will be assessed in order to determine recommended phase II dose (Safety and Tolerability)","NCT04197999","Target found: https://www.ncbi.nlm.nih.gov/pubmed/31877673. However, it is a paper related to prostate cancer. Full paper includes sources that related to hormone dependent breast cancer, that denote the sialyl-lewis x antigen as a target of the drug, however, doesnt mention GMI-1359 directly.","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT04197999","NA","NA","ENSG00000091831, ENSG00000134551","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE"
"23","Breast Cancer","ESR1, EBBR2","Positive, Positive","AND, AND","protein expression, protein expression/protein expression & amplification","Palbociclib, Letrozole, Trastuzumab, Pertuzumab","CDK4/CDK6, aromatase, EBBR2, EBBR2","II","First line","Pathological complete response (pCR)","NCT03644186","has comparator with different treatments","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03644186","DB09073,DB01006,DB00072,DB06366","11431660, 3902, 3001322, NA","ENSG00000091831, NA","MONDO_0007254","failed"
"24","Breast Cancer","EBBR2, ESR1, PR","Positive, negative, negative","AND, AND","protein expression, protein expression, protein expression","VRP-EBBR2, Pembrolizumab","EBBR2 RNA, PD1","II","First line","Number of Tumor infiltrating Lymphocytes and EBBR2 specific antibodies","NCT03632941","in combination with first line treatment","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03632941","NA,DB09037","NA, NA","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE"
"25","Metastatic Breast Cancer","EBBR2, ESR1, PR","Negative, negative/positive, negative/positive","AND, AND/OR","protein expression, protein expression, protein expression","Eribulin","Tubulin","II","Advanced, Second line","Efficacy of eribulin for treatment of EBBR2-negative BCBM","NCT03637868",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT03637868","DB08871","11354606","NA, ENSG00000091831, ENSG00000134551","EFO_1000984","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE"
"26","Advanced Breast Cancer","EBBR2, PR,ESR1","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","Ribociclib, Letrozole OR Anastrozole, Goserelin","CDK4/CDK6, aromatase OR aromatase, GnRH receptors","II","Advanced, Second line","Overall Response Rate (ORR)","NCT03822468",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03822468","DB11730,NA,DB00014","44631912, NA, 5311128","NA, ENSG00000134551, ENSG00000091831","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE"
"27","TNBC Breast Cancer","EBBR2, ESR1, PR","Negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","Ipilimumab, Nivolumab","CTLA4, PD1","II","First line","Event-Free Survival","NCT03546686","Expermential group requires surgery, cyroablation.","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03546686","DB06186,DB09035","NA, NA","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE"
"28","Breast cancer",NA,NA,NA,NA,"Metformin Hydrochloride, Doxorubicin, cyclophosphamide, Paclitaxel","NADPH:ubiquinone oxidoreductase, DNA/DNA-topoisomerase II complex, DNA, Bcl2","II","First line","Evaluation of the effect on tumor proliferation as measured by Ki-67 immunohistochemical (IHC) assessment , Evaluation of the effect on tumor apoptosis as measured by Caspase-3, Chemotherapy toxicities","NCT04170465","They list their biomarkers as: i. Ki-67 ii. Caspase-3 iii. TNF-α","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT04170465","NA,DB00997,DB00531,DB01229","14219, 443939, 2907, 36314","ENSG00000183023","MONDO_0007254","NA NA NA"
"29","Metastatic Breast Cancer","EBBR2, ESR1, PR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","Palbociclib, Exemestane, Goserelin","CDK4/CDK6, aromatase, GnRH receptors","II","Advanced, First Line","Progression free survival","NCT02917005","has comparator with different treatments","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT02917005","DB09073,DB00990,DB00014","11431660, 60198, 5311128","NA, ENSG00000091831, ENSG00000134551","EFO_1000984","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE"
"30","locally-recurrent or metastatic breast cancer","EBBR2, ESR1, PR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","Eribulin","Tubulin","II","Advanced, Second line","The overall response rate (ORR)","NCT03795012","has comparator with different treatments, States: ""no prior line of chemotherapy in the metastatic setting"", but requires hormone therapy in the metastatic setting","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03795012","DB08871","11354606","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE"
"31","non-metastatic primary luminal breast cancer (Stage II-III)","EBBR2, ESR1, PR","Negative, Positive, negative/positive","AND, AND","protein expression, protein expression, protein expression","Ribociclib, letrozole","UNK","II","Non-advanced and advanced, First line","Difference in complete cell cycle arrest","NCT03283384","has comparator with different treatments, States: ""no prior line of chemotherapy in the metastatic setting"", but requires hormone therapy in the metastatic setting","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03283384","DB11730,DB01006","44631912, 3902","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE"
"32","Metastatic Breast Cancer","EBBR2, ESR1","Negative, negative/positive","AND","protein expression, protein expression","eribulin and nivolumab","UNK","I/II","Advanced, Second line","6 months progression-free survival (PFS) rate","NCT04061863","different experiments, but they use the same drugs. Dependent upon EBBR2 status","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT04061863","NA","NA","NA, ENSG00000091831","EFO_1000984","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE"
"33","Breast Cancer","EBBR2, ESR1, PR","Positive, negative/positive, negative/positive","AND/OR, AND/OR","protein expression & amplification, protein expression, protein expression","Pembrolizumab, Trastuzumab Biosimilar ABP 980, Pertuzumab","UNK","II","First line","Evaluation of the pCR rate of the combination therapy consisting of pembrolizumab in combination with the dual anti-EBBR2 blockade trastuzumab biosimilar ABP 980 and pertuzumab in patients with EBBR2-enriched early breast cancer assessed by PAM50 testing ","NCT03988036",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03988036","DB09037,NA,DB06366","NA, NA, NA","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE"
"34","TNBC Breast Cancer","EBBR2, ESR1, PR","Negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","CFI-400945, Durvalumab","PLK4, PDl1","II","Advanced, Second line","Objective Response Rate of CFI-400945 given with durvalumab using RECIST","NCT04176848",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT04176848","NA,DB11714","58486178, NA","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE"
"35","Premenopausal or perimenopausal locally advanced or metastatic breast cancer","EBBR2, ESR1, PR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","Ribociclib, Letrozole OR Anastrozole, Goserelin","UNK","II","Advanced, First line","Progression Free Survival","NCT03839823",NA,"TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT03839823","DB11730,NA,DB00014","44631912, NA, 5311128","NA, ENSG00000091831, ENSG00000134551","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE"
"36","Recurrent or metastatic breast cancer","EBBR2, ESR1","Negative, Positive","AND","protein expression, protein expression","nab-paclitaxel","UNK","II","Advanced, First line","Objective Response Rate (ORR)","NCT04194684",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT04194684","NA","36314","NA, ENSG00000091831","MONDO_0007254","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE"
