"","drug","drug_drugbank_standard","drug_pubchem","biomarker","biomarker_ensembl_standard","biomarker_type","biomarker_direction","biomarker_relations","biomarker_description","disease","diseases_id_standard","drug_targets","QC","curator","raw_table","source","source_id","record_id"
"13","ARFORMOTEROL","DB01274","3083544","UGT1A1, CYP2D6","ENSG00000241635, ENSG00000100197","polymorphism, polymorphism","positive, positive","AND/OR","UGT1A1 POLYMORPHISM POSITIVE AND/OR CYP2D6 POLYMORPHISM POSITIVE","Chronic obstructive pulmonary disease","EFO_0000341","β2-adrenergic receptor","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG445115987"
"14","ARIPIPRAZOLE   LAUROXIL",NA,"49831411","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Schizophrenia and bipolar disorder,Major depression,Tourette's disease or autism","EFO_0000289","5-HT2A","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-493957746"
"15","ARSENIC TRIOXIDE","DB01169",NA,"PML-RARA","ENSG00000133246","translocation",NA,NA,"PML-RARA TRANSLOCATION NA","blood and bone marrow cancers","MONDO_0021138","HK2(Hexokinase 2)","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1476585244"
"16","ARTICAINE, EPINEPHRINE","DB09009,DB00668","32170, 5816","G6PD","ENSG00000160211","protein expression",NA,NA,"G6PD PROTEIN EXPRESSION NA","Anesthesiology,before dental care to numb the area","OTAR_0000018",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1745727063"
"17","ATEZOLIZUMAB","DB11595",NA,"CD274","ENSG00000120217","protein expression",NA,NA,"CD274 PROTEIN EXPRESSION NA","Breast bladder and urinary tract cancers, non-small cell lung cancer.","MONDO_0007254","hPD-L1","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1850603683"
"19","ATEZOLIZUMAB","DB11595",NA,"CD274，EGFR，ALK","ENSG00000120217, ENSG00000146648, ENSG00000171094","protein expression, mutation, mutation","positive, negative, negative","AND, AND","CD274 PROTEIN EXPRESSION POSITIVE AND EGFR MUTATION NEGATIVE AND ALK MUTATION NEGATIVE"," non-small cell lung cancer.","EFO_0003060",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1616970176"
"20","ATOMOXETINE","DB00289","54841","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Hyperactive attention deficit","EFO_0003888","5-HT; DA transporter; Norepinephrine (NE) transporter","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-292801829"
"24","AZATHIOPRINE","DB00993","2265","TPMT, NUDT15","ENSG00000137364, ENSG00000136159","polymorphism, polymorphism","negative, negative","AND/OR","TPMT POLYMORPHISM NEGATIVE AND/OR NUDT15 POLYMORPHISM NEGATIVE","Autoimmune diseases","EFO_1000870","HGPRT; Rac1;","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1048595055"
"25","BELINOSTAT","DB05015","6918638","UGT1A1","ENSG00000241635","polymorphism",NA,NA,"UGT1A1 POLYMORPHISM NA","T cell lymphoma","EFO_0002913","HDAC","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG2059480590"
"26","BINIMETINIB","DB11967","10288191","BRAF","ENSG00000157764","mutation",NA,NA,"BRAF MUTATION NA","melanoma","EFO_0000756","MEK1&2","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG736314554"
"28","BOCEPREVIR","DB08873","10324367","IFNL3
","ENSG00000197110","protein expression",NA,NA,"IFNL3 PROTEIN EXPRESSION NA","Hepatitis c infection","EFO_0004220","HCV NS3 protease","pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-378943012"
"32","BREXPIPRAZOLE","DB09128","11978813","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","schizophrenia,Severe depression,Alzheimer's disease","EFO_0000249",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG829815143"
"33","BRIGATINIB","DB12267","68165256","ALK","ENSG00000171094","mutation",NA,NA,"ALK MUTATION NA","Non-small cell lung cancer that has spread to other parts of the body","EFO_0003060",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1437695799"
"34","BRIVARACETAM","DB05541","9837243","CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","epilepsy","EFO_0000474",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG282615554"
"35","CABOZANTINIB","DB08875","25102846","RET","ENSG00000165731","genetic others",NA,NA,"RET GENETIC OTHERS NA","non-small-cell lung cancer","EFO_0003060",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG816316872"
"36","CAPECITABINE","DB01101","60953","DPYD","ENSG00000188641","mutation",NA,NA,"DPYD MUTATION NA","Colorectal cancer,reast cancer","EFO_0005842",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1533469514"
"37","CARBAMAZEPINE","DB00564","2554","HLA-B, HLA-A","ENSG00000234745, ENSG00000206503","polymorphism, polymorphism","negative, negative","AND/OR","HLA-B POLYMORPHISM NEGATIVE AND/OR HLA-A POLYMORPHISM NEGATIVE","Brivaracetam,epilepsy,anticonvulsants","EFO_0000474",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG205847830"
"38","CARGLUMIC ACID","DB06775","121396","NAGS","ENSG00000161653","protein expression",NA,NA,"NAGS PROTEIN EXPRESSION NA","Inborn Errors of Metabolism,high ammonia levels","Orphanet_68367",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG541509081"
"39","CARIPRAZINE","DB06016","25096873","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","schizophrenia,Bipolar I disorder","EFO_0000289",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1069940068"
"40","CARISOPRODOL","DB00395","2576","CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","Skeletal muscle diseas","Orphanet_206634",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1900108140"
"41","CARVEDILOL","DB01136","185395","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Heart failure,high blood pressure,Heart disease","EFO_0003777",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1557071629"
"42","CELECOXIB","DB00482","2662","CYP2C9","ENSG00000138109","polymorphism",NA,NA,"CYP2C9 POLYMORPHISM NA","Arthritis, ankylosis and menstrual pain,Rheumatoid arthritis","EFO_0000685",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG900270885"
"43","CEFTRIAXONE","DB01212","5479530","G6PD","ENSG00000160211","polymorphism",NA,NA,"G6PD POLYMORPHISM NA","Treat or prevent bacterial infections","EFO_0000771",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG570155103"
"44","CERITINIB","DB09063","57379345","ALK","ENSG00000171094","mutation",NA,NA,"ALK MUTATION NA","Lung cancer","MONDO_0008903",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-413895656"
"45","CERLIPONASE ALFA","DB13173",NA,"TPP1","ENSG00000166340","mutation",NA,NA,"TPP1 MUTATION NA","Type 2 disease of ceroid lipofuscinosis (CLN2)","EFO_1000051",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-2121880163"
"46","CETUXIMAB","DB00002","136170999","RAS","ENSG00000133703","mutation",NA,NA,"RAS MUTATION NA","cancer of the head and neck","EFO_0006859",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1928793512"
"47","CRIZANLIZUMAB","DB15271",NA,"HBB","ENSG00000244734","mutation",NA,NA,"HBB MUTATION NA","people with sickle cell disease","EFO_1000636",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1667727299"
"48","CRIZOTINIB","DB08865","11626560","ROS1","ENSG00000047936","gene fusion",NA,NA,"ROS1 GENE FUSION NA"," lung cancer","MONDO_0008903",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1839732767"
"49","DABRAFENIB","DB08912","44462760","RAS","ENSG00000133703","mutation",NA,NA,"RAS MUTATION NA","skin cancer (melanoma)","MONDO_0002898",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1229781644"
"50","DENILEUKIN DIFTITOX","DB00004",NA,"IL2RA
","ENSG00000134460","protein expression",NA,NA,"IL2RA PROTEIN EXPRESSION NA","leukemia","EFO_0000565",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-210842937"
"52","EFAVIRENZ","DB00625","64139","CYP2B6","ENSG00000197408","polymorphism",NA,NA,"CYP2B6 POLYMORPHISM NA"," HIV infection","EFO_0000764",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG779147928"
"53","ELAGOLIX","DB11979","11250647","SLCO1B1","ENSG00000134538","protein expression",NA,NA,"SLCO1B1 PROTEIN EXPRESSION NA","moderate to severe pain caused by endometriosis.","EFO_0003843",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1440571084"
"59","ENASIDENIB","DB13874","89683805","IDH2","ENSG00000182054","mutation",NA,NA,"IDH2 MUTATION NA","acute myeloid leukemia (AML) in adults with an IDH2 mutation.","EFO_0000222",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1362059301"
"61","ENTRECTINIB","DB11986","25141092","NTRK","ENSG00000165300","gene fusion",NA,NA,"NTRK GENE FUSION NA","Solid tumor","Orphanet_84",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-622383070"
"63","ESCITALOPRAM","DB01175","146570","CYP2C19","ENSG00000165841","polymorphism",NA,NA,"CYP2C19 POLYMORPHISM NA","Depression","EFO_0003761",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1869766997"
"65","ETEPLIRSEN","DB06014",NA,"DMD","ENSG00000198947","mutation",NA,NA,"DMD MUTATION NA","Duchenne muscular dystrophy","Orphanet_98896",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-998821726"
"66","FLUOROURACIL","DB00544","3385","DPYD","ENSG00000188641","mutation",NA,NA,"DPYD MUTATION NA","skin cancer","MONDO_0002898",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG363506879"
"67","GILTERITINIB","DB12141","49803313","FLT3","ENSG00000122025","mutation",NA,NA,"FLT3 MUTATION NA","myelomatosis","EFO_0001378",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-23249570"
"70","IMATINIB","DB00619","123596","KIT，FIP1L1-PDGFRA","ENSG00000157404, ENSG00000282278","mutation, gene fusion","negative, positive","AND","KIT MUTATION NEGATIVE AND FIP1L1-PDGFRA GENE FUSION POSITIVE","Aggressive Systemic Mastocytosis","EFO_0000618",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1859447834"
"72","IMATINIB","DB00619","123596","PDGFRB","ENSG00000113721","translocation",NA,NA,"PDGFRB TRANSLOCATION NA","Myelodysplastic","MONDO_0020077",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1151651722"
"73","IMATINIB","DB00619","123596","FIP1L1-PDGFRA","ENSG00000282278","gene fusion",NA,NA,"FIP1L1-PDGFRA GENE FUSION NA","Hypereosinophilic Syndrome (HES) and","EFO_0004842",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-1147713356"
"74","INDACATEROL","DB05039","6918554","UGT1A1","ENSG00000241635","polymorphism",NA,NA,"UGT1A1 POLYMORPHISM NA","asthma","EFO_0000270",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG166414512"
"75","INOTERSEN","DB14713","121493436","TTR","ENSG00000118271","protein expression",NA,NA,"TTR PROTEIN EXPRESSION NA","FAP(Familial amyloid polyneuropathy)","EFO_0002945",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-539500812"
"76","IPILIMUMAB","DB06186",NA,"HLA-A","ENSG00000206503","polymorphism",NA,NA,"HLA-A POLYMORPHISM NA","Melanoma","EFO_0000756",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG-848100356"
"77","ISOSORBIDE DINITRATE","DB00883","6883","CYB5R","ENSG00000100243","protein expression",NA,NA,"CYB5R PROTEIN EXPRESSION NA","angina","EFO_0003913",NA,"pass","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA","BiomarkerKG1476229835"
"80","SACITUZUMAB GOVITECAN, TALAZOPARIB","DB12893,DB11760","91668186, 135565082","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","stage IV (metastatic) breast cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT04039230","BiomarkerKG650370835"
"81","TRASTUZUMAB, GDC-0084","DB00072,DB15186","3001322, 57384863","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast cancer with progressive brain metastases","MONDO_0007254","HER2, PI3-kinase","pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03765983","BiomarkerKG-1577117464"
"82","NERATINIB, FULVESTRANT","DB11828,DB00947","9915743, 104741","ERBB2,ESR1","ENSG00000141736, ENSG00000091831","protein expression & amplification, protein expression","positive,positive","AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","EFO_1000984","HER2","pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03289039","BiomarkerKG1651699518"
"83","NIVOLUMAB, CABOZANTINIB","DB09035,DB08875","NA, 25102846","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Metastatic Triple-negative Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03316586","BiomarkerKG-56300326"
"84","VINORELBINE, TRASTUZUMAB, AVELUMAB, UTOMILUMAB","DB00361,DB00072,DB11945,DB15113","5311497, 3001322, NA, NA","ERBB2, PD1","ENSG00000141736, ENSG00000145335","protein, protein","positive,positive","AND","ERBB2 PROTEIN POSITIVE AND PD1 PROTEIN POSITIVE","Advanced HER2+ Breast Cancer","MONDO_0007254","PD1 ,HER2","pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03414658","BiomarkerKG1866168183"
"85","FULVESTRANT, ENZALUTAMIDE","DB00947,DB08899","104741, 15951529","ESR1,ERBB2","ENSG00000091831, ENSG00000141736","protein expression & amplification, protein expression","positive,negative","AND","ESR1 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Her2- Advanced Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02953860","BiomarkerKG1845581618"
"87","CARBOPLATIN, PACLITAXEL","DB00958,DB01229","56840877, 36314","HER2","ENSG00000141736","protein","negative",NA,"HER2 PROTEIN NEGATIVE","HER2 (human epidermal growth factor 2) -negative breast adenocarcinoma","EFO_0000305",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02546232","BiomarkerKG-1857510214"
"90","PYROTINIB, FULVESTRANT","DB14993,DB00947","51039030, 104741","ESR1,PR,ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","positive,positive,positive","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2+ Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT04033172","BiomarkerKG-384148472"
"91","T-DM1","DB05773",NA,"ERBB2","ENSG00000141736","protein & DNA","positive",NA,"ERBB2 PROTEIN & DNA POSITIVE","Stage I-III breast cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03587740","BiomarkerKG-898666061"
"95","GEDATOLISIB, PTK7-ADC","DB11896,NA","44516953, NA","ESR1,PR,ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Metastatic Triple-negative Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03243331","BiomarkerKG350394115"
"96","RUXOLITINIB, CAPECITABINE","DB08877,DB01101","25126798, 60953","ERBB2","ENSG00000141736","protein","negative",NA,"ERBB2 PROTEIN NEGATIVE","Advanced or Metastatic HER2-negative Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02120417","BiomarkerKG-231956791"
"97","VINORELBINE, LETROZOLE, ANASTROZOLE","DB00361,DB01006,DB01217","5311497, 3902, 2187","ESR1,PR,ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","positive,positive,negative","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Pretreated Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02585388","BiomarkerKG1161470093"
"98","TRASTUZUMAB, LEUKINE","DB00072,NA","3001322, NA","HER2,HLA2, HLAA3, HLAA24, HLAA26,","ENSG00000141736, NA, NA, NA, NA","polymorphism, polymorphism, polymorphism, polymorphism, protein expression & amplification","positive,positive,positive,positive,positive","AND, OR,OR,OR","HER2 POLYMORPHISM POSITIVE AND HLA2 POLYMORPHISM POSITIVE OR HLAA3 POLYMORPHISM POSITIVE OR HLAA24 POLYMORPHISM POSITIVE OR HLAA26 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","High-risk HER2+ Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02297698","BiomarkerKG-2021518099"
"100","OLAPARIB, CARBOPLATIN, ANTHRACYCLINE, CYCLOPHOSPHAMIDE","DB09074,DB00958,NA,DB00531","23725625, 56840877, NA, 2907","ERBB2","ENSG00000141736","protein expression,","negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Advanced HER2 Negative Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02561832","BiomarkerKG1930391039"
"101","DISULFIRAM, VINORELBIN, CISPLATIN, COPPER","DB00822,DB00361,DB00515,DB09130","3117, 44424639, 135804801, 23978","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression,protein expression,","positive,positive,negative","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Refractory Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT04265274","BiomarkerKG-129847157"
"102","RIBOCICLIB, T-DM1, TRASTUZUMAB, FULVESTRANT","DB11730,DB05773,DB00072,DB00947","44631912, NA, 3001322, 104741","ESR1, HER2","ENSG00000091831, ENSG00000141736","protein expression, protein expression & DNA","positive,positive","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & DNA POSITIVE","Metastatic Her2-Positive Breast Cancer","MONDO_0007254","Cyclin-Dependent Kinases (CDKs),HER2, ,","pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02657343","BiomarkerKG1480637455"
"103","CARBOPLATIN, EVEROLIMUS","DB00958,DB01590","56840877, 6442177","ESR1,PR,ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Advanced Triple-Negative Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02531932","BiomarkerKG-1181188759"
"104","PALBOCICLIB, LETROZOLE","DB09073,DB01006","11431660, 3902","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression","positive,positive,negative","AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","HR+, HER2- Advanced Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02679755","BiomarkerKG-523699566"
"105","CELECOXIB","DB00482","2662","HER2","ENSG00000141736","protein expression","negative",NA,"HER2 PROTEIN EXPRESSION NEGATIVE","Primary Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02429427","BiomarkerKG478084554"
"107","ENTINOSTAT, EXEMESTANE","DB11841,DB00990","4261, 60198","ESR1,PR","ENSG00000091831, ENSG00000134551","protein expression, protein expression","positive,positive","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE","Recurrent or Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02833155","BiomarkerKG-601071095"
