"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG1616970176","ATEZOLIZUMAB","CD274, EGFR, ALK","AND, AND","CD274 PROTEIN EXPRESSION POSITIVE AND EGFR MUTATION NEGATIVE AND ALK MUTATION NEGATIVE","NON-SMALL CELL LUNG CANCER.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-292801829","ATOMOXETINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","HYPERACTIVE ATTENTION DEFICIT","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG719702881","AVATROMBOPAG","F2, F5, PROC, PROS1, SERPINC1, CYP2C9","OR, OR, OR, OR, OR","F2 POLYMORPHISM NEGATIVE OR F5 POLYMORPHISM NEGATIVE OR PROC POLYMORPHISM NEGATIVE OR PROS1 POLYMORPHISM NEGATIVE OR SERPINC1 POLYMORPHISM NEGATIVE OR CYP2C9 POLYMORPHISM NEGATIVE","THROMBOTIC","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1188758294","AVELUMAB","CD274",NA,"CD274 PROTEIN EXPRESSION NA","MERCKLE CELL CARCINOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1048595055","AZATHIOPRINE","TPMT, NUDT15","AND/OR","TPMT POLYMORPHISM NEGATIVE AND/OR NUDT15 POLYMORPHISM NEGATIVE","AUTOIMMUNE DISEASES","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG2059480590","BELINOSTAT","UGT1A1",NA,"UGT1A1 POLYMORPHISM NA","T CELL LYMPHOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG736314554","BINIMETINIB","BRAF",NA,"BRAF MUTATION NA","MELANOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-378943012","BOCEPREVIR","IFNL3
",NA,"IFNL3 PROTEIN EXPRESSION NA","HEPATITIS C INFECTION","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-771556728","BRENTUXIMAB VEDOTIN","ALK",NA,"ALK MUTATION NA","CLASSICAL HODGKIN LYMPHOMA,ANAPLASTIC LARGE CELL LYMPHOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1173989673","BRENTUXIMAB VEDOTIN","TNFRSF8",NA,"TNFRSF8 PROTEIN EXPRESSION NA","CLASSICAL HODGKIN LYMPHOMA,ANAPLASTIC LARGE CELL LYMPHOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG829815143","BREXPIPRAZOLE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","SCHIZOPHRENIA,SEVERE DEPRESSION,ALZHEIMER'S DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1437695799","BRIGATINIB","ALK",NA,"ALK MUTATION NA","NON-SMALL CELL LUNG CANCER THAT HAS SPREAD TO OTHER PARTS OF THE BODY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG282615554","BRIVARACETAM","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","EPILEPSY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG816316872","CABOZANTINIB","RET",NA,"RET GENETIC OTHERS NA","NON-SMALL-CELL LUNG CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1533469514","CAPECITABINE","DPYD",NA,"DPYD MUTATION NA","COLORECTAL CANCER,REAST CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG205847830","CARBAMAZEPINE","HLA-B, HLA-A","AND/OR","HLA-B POLYMORPHISM NEGATIVE AND/OR HLA-A POLYMORPHISM NEGATIVE","BRIVARACETAM,EPILEPSY,ANTICONVULSANTS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG541509081","CARGLUMIC ACID","NAGS",NA,"NAGS PROTEIN EXPRESSION NA","INBORN ERRORS OF METABOLISM,HIGH AMMONIA LEVELS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1069940068","CARIPRAZINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","SCHIZOPHRENIA,BIPOLAR I DISORDER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1900108140","CARISOPRODOL","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","SKELETAL MUSCLE DISEAS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1557071629","CARVEDILOL","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","HEART FAILURE,HIGH BLOOD PRESSURE,HEART DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG900270885","CELECOXIB","CYP2C9",NA,"CYP2C9 POLYMORPHISM NA","ARTHRITIS, ANKYLOSIS AND MENSTRUAL PAIN,RHEUMATOID ARTHRITIS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG570155103","CEFTRIAXONE","G6PD",NA,"G6PD POLYMORPHISM NA","TREAT OR PREVENT BACTERIAL INFECTIONS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-413895656","CERITINIB","ALK",NA,"ALK MUTATION NA","LUNG CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-2121880163","CERLIPONASE ALFA","TPP1",NA,"TPP1 MUTATION NA","TYPE 2 DISEASE OF CEROID LIPOFUSCINOSIS (CLN2)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1928793512","CETUXIMAB","RAS",NA,"RAS MUTATION NA","CANCER OF THE HEAD AND NECK","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1667727299","CRIZANLIZUMAB","HBB",NA,"HBB MUTATION NA","PEOPLE WITH SICKLE CELL DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1839732767","CRIZOTINIB","ROS1",NA,"ROS1 GENE FUSION NA","LUNG CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1229781644","DABRAFENIB","RAS",NA,"RAS MUTATION NA","SKIN CANCER (MELANOMA)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-210842937","DENILEUKIN DIFTITOX","IL2RA
",NA,"IL2RA PROTEIN EXPRESSION NA","LEUKEMIA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG779147928","EFAVIRENZ","CYP2B6",NA,"CYP2B6 POLYMORPHISM NA","HIV INFECTION","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1440571084","ELAGOLIX","SLCO1B1",NA,"SLCO1B1 PROTEIN EXPRESSION NA","MODERATE TO SEVERE PAIN CAUSED BY ENDOMETRIOSIS.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1362059301","ENASIDENIB","IDH2",NA,"IDH2 MUTATION NA","ACUTE MYELOID LEUKEMIA (AML) IN ADULTS WITH AN IDH2 MUTATION.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1738472582","ENFORTUMAB VEDOTIN-EJFV","NECTIN4",NA,"NECTIN4 PROTEIN EXPRESSION NA","ADVANCED UROTHELIAL CARCINOMA, BLADDER CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-622383070","ENTRECTINIB","NTRK",NA,"NTRK GENE FUSION NA","SOLID TUMOR","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-239734061","ERDAFITINIB","FGFR",NA,"FGFR MUTATION & GENE FUSION NA","UROTHELIAL CARCINOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1869766997","ESCITALOPRAM","CYP2C19",NA,"CYP2C19 POLYMORPHISM NA","DEPRESSION","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-978387120","ESTRADIOL, PROGESTERONE","SERPINC1",NA,"SERPINC1 PROTEIN OVEREXPRESSION NA","VASOMOTOR DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-998821726","ETEPLIRSEN","DMD",NA,"DMD MUTATION NA","DUCHENNE MUSCULAR DYSTROPHY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG363506879","FLUOROURACIL","DPYD",NA,"DPYD MUTATION NA","SKIN CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-23249570","GILTERITINIB","FLT3",NA,"FLT3 MUTATION NA","MYELOMATOSIS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1859447834","IMATINIB","KIT, FIP1L1-PDGFRA","AND","KIT MUTATION NEGATIVE AND FIP1L1-PDGFRA GENE FUSION POSITIVE","AGGRESSIVE SYSTEMIC MASTOCYTOSIS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1151651722","IMATINIB","PDGFRB",NA,"PDGFRB TRANSLOCATION NA","MYELODYSPLASTIC","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1147713356","IMATINIB","FIP1L1-PDGFRA",NA,"FIP1L1-PDGFRA GENE FUSION NA","HYPEREOSINOPHILIC SYNDROME (HES) AND","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG166414512","INDACATEROL","UGT1A1",NA,"UGT1A1 POLYMORPHISM NA","ASTHMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-539500812","INOTERSEN","TTR",NA,"TTR PROTEIN EXPRESSION NA","FAP(FAMILIAL AMYLOID POLYNEUROPATHY)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-848100356","IPILIMUMAB","HLA-A",NA,"HLA-A POLYMORPHISM NA","MELANOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1476229835","ISOSORBIDE DINITRATE","CYB5R",NA,"CYB5R PROTEIN EXPRESSION NA","ANGINA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG637500005","IVOSIDENIB","IDH1",NA,"IDH1 MUTATION POSITIVE","LEUKEMIA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-726641820","LAPATINIB","HLA-DQA1",NA,"HLA-DQA1 POLYMORPHISM POSITIVE","BREAST CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG496745715","LAPATINIB","HLA-DRB1",NA,"HLA-DRB1 POLYMORPHISM POSITIVE","BREAST CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG453634129","LAROTRECTINIB","NTRK",NA,"NTRK GENE FUSION POSITIVE","ABNORMAL NTRK GENE CAUSES CERTAIN TUMORS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG679917283","MIDOSTAURIN","NPM1",NA,"NPM1 MUTATION POSITIVE","ACUTE MYELOID LEUKEMIA,CERTAIN RARE BLOOD DISORDERS, INCLUDING SYSTEMIC MASTOCYTOSIS WITH MAST CELL LEUKEMIA OR OTHER CANCERS AFFECTING THE BLOOD,BONE MARROW, OR LYMPHATIC TISSUE.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-49333377","MIDOSTAURIN","KIT",NA,"KIT MUTATION POSITIVE","ACUTE MYELOID LEUKEMIA,CERTAIN RARE BLOOD DISORDERS, INCLUDING SYSTEMIC MASTOCYTOSIS WITH MAST CELL LEUKEMIA OR OTHER CANCERS AFFECTING THE BLOOD,BONE MARROW, OR LYMPHATIC TISSUE.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1030127933","MIGALASTAT","GLA",NA,"GLA MUTATION POSITIVE","FABRY DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-280478680","MIVACURIUM","BCHE",NA,"BCHE POLYMORPHISM POSITIVE","CALM MUSCLES DURING SURGERY,CALM MUSCLES WHILE ON A BREATHING MACHINE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG2104942858","MYCOPHENOLIC ACID","HPRT1",NA,"HPRT1 PROTEIN EXPRESSION POSITIVE","RGAN REJECTION AFTER A KIDNEY TRANSPLANT","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1086936591","NUSINERSEN","SMN2",NA,"SMN2 PROTEIN EXPRESSION POSITIVE","SPINAL MUSCULAR ATROPHY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-558455940","OBINUTUZUMAB","MS4A1",NA,"MS4A1 PROTEIN EXPRESSION POSITIVE","LEUKEMIA，LYMPHOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG489011798","OLAPARIB","BRCA",NA,"BRCA MUTATION POSITIVE","OVARIAN CANCER, FALLOPIAN TUBE CANCER, OR PERITONEAL CANCER IN WOMEN WITH A CERTAIN ABNORMAL INHERITED GENE，HER2-NEGATIVE BREAST CANCER，CANCER HAS A SPECIFIC GENETIC MARKER (AN ABNORMAL ""BRCA"" GENE)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1388758583","OLARATUMAB","PDGFRA",NA,"PDGFRA PROTEIN SILENCING POSITIVE","SOFT TISSUE SARCOMA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1323391694","PARATHYROID HORMONE","CASR",NA,"CASR MUTATION POSITIVE","CONTROL LOW BLOOD CALCIUM LEVELS IN PEOPLE WHO HAVE LOW BLOOD PARATHYROID HORMONE LEVELS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG794218917","PEGINTERFERON ALFA-2B","IFNL3",NA,"IFNL3 PROTEIN EXPRESSION POSITIVE","CHRONIC HEPATITIS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1790679122","PRASUGREL","CYP3A5",NA,"CYP3A5 PROTEIN EXPRESSION POSITIVE","ATHEROSCLEROSIS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG149207443","RUCAPARIB","CYP1A2",NA,"CYP1A2 PROTEIN EXPRESSION POSITIVE","OVARIAN CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1053117702","USTEKINUMAB","IL12A, IL12B, IL23A","AND/OR, AND/OR","IL12A MUTATION POSITIVE AND/OR IL12B MUTATION POSITIVE AND/OR IL23A MUTATION POSITIVE","COLITIS (UC)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1944943287","VALPROIC ACID","POLG",NA,"POLG MUTATION POSITIVE","EPILEPSY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1127858044","VENETOCLAX","TP53",NA,"TP53 MUTATION POSITIVE","LEUCOCYTHEMIA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1962047831","VENETOCLAX","IGH",NA,"IGH TRANSLOCATION POSITIVE","LEUCOCYTHEMIA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-357946721","WARFARIN","VKORC1",NA,"VKORC1 POLYMORPHISM POSITIVE","VENOUS THROMBOEMBOLIC DISEASE (VTE)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG2028368899","WARFARIN","PROS1",NA,"PROS1 MUTATION POSITIVE","VENOUS THROMBOEMBOLIC DISEASE (VTE)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG313586149","WARFARIN","PROC",NA,"PROC MUTATION POSITIVE","VENOUS THROMBOEMBOLIC DISEASE (VTE)","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-2104469395","SODIUM   PHENYLBUTYRATE","ASS1, CPS1, OTC","OR,OR","ASS1 MUTATION POSITIVE OR CPS1 MUTATION POSITIVE OR OTC MUTATION POSITIVE","ENZYME DEFICIENCY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1514699161","NIVOLUMAB, IPILIMUMAB","ESR1, PGR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03818685"
"BiomarkerKG-1435553749","IMIPRAMINE","ESR1, PGR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03122444"
"BiomarkerKG-1899271805","PALBOCICLIB, LETROZOLE","ERBB2, PGR, ESR1","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","BREAST CANCER","ALV","clinicaltrials.gov","NCT04047758"
"BiomarkerKG809776760","PYROTINIB, ETOPOSIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03923179"
"BiomarkerKG-1915782920","DOCETAXEL, RITONAVIR","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","RECURRENT BREAST CANCER","ALV","clinicaltrials.gov","NCT03890744"
"BiomarkerKG-156769428","DURVALUMAB, TRASTUZUMAB, PERTUZUMAB","ERBB2, PGR, ESR1","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","BREAST CANCER (I-II)","ALV","clinicaltrials.gov","NCT03820141"
"BiomarkerKG-1013990068","PACLITAXEL, TRASTUZUMAB, CARBOPLATIN, PERTUZUMAB","ERBB2, PGR, ESR1","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","BREAST CANCER (STAGE II-III)","ALV","clinicaltrials.gov","NCT03820063"
"BiomarkerKG-447481596","ONAPRISTONE","ESR1, PGR, ERBB2, Ki67","AND, AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","BREAST CANCER (I-II)","ALV","clinicaltrials.gov","NCT04142892"
"BiomarkerKG-859329038","PEMBROLIZUMAB, PEGYLATED LIPOSOMAL DOXORUBICIN","ESR1, ERBB2","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC BREAST CANCER (III-IV)","ALV","clinicaltrials.gov","NCT03591276"
"BiomarkerKG687053448","PYROTINIB, CAPECITABINE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","BREAST CANCER","ALV","clinicaltrials.gov","NCT03923166"
"BiomarkerKG-889764113","PEMBROLIZUMAB, PACLITAXEL","ESR1, ERBB2, Ki67","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC LUMINAL B BREAST CANCER","ALV","clinicaltrials.gov","NCT03841747"
"BiomarkerKG-103720969","PYROTINIB, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB, EPRIRUBICIN, CYCLOPHOSPHAMIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","BREAST CANCER (I-III)","ALV","clinicaltrials.gov","NCT04066790"
"BiomarkerKG-1504794440","PYROTINIB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","BREAST CANCER","ALV","clinicaltrials.gov","NCT03980054"
"BiomarkerKG1827935371","LETROZOLE, PYROTINIB, SHR6390","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03772353"
"BiomarkerKG1686449390","CAPECITABINE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","NON-METASTATIC INVASIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03958721"
"BiomarkerKG-435072881","DOCETAXEL, CYCLOPHOSPHAMIDE, TRASTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","BREAST NEOPLASMS","ALV","clinicaltrials.gov","NCT03705429"
"BiomarkerKG1596444665","SAR439859","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03816839"
"BiomarkerKG-316459000","IPATASERTIB, PALBOCICLIB, FULVESTRANT","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT04060862"
"BiomarkerKG1503939067","ERIBULIN, BALIXAFORTIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","LOCALLY RECURRENT OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03786094"
"BiomarkerKG-2032842044","VENETOCLAX, PALBOCICLIB, LETROZOLE","ESR1, Bcl2, ERBB2","AND, AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND BCL2 PROTEIN EXPRESSION POSITIVE AND/OR ERBB2 PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03900884"
"BiomarkerKG276424285","ATEZOLIZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB EMTANSINE","ERBB2, ESR1, PGR, PDL1","AND, AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","BREAST CANCER (I-III)","ALV","clinicaltrials.gov","NCT03726879"
"BiomarkerKG1623818552","FS-1502","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03944499"
"BiomarkerKG-627703212","IPI-549, ATEZOLIZUMAB, NAB-PACLITAXEL","ERBB2, ESR1, PGR, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03961698"
