"record_id","disease_name","disease_id","id_source"
"BiomarkerKG-1362059301","ACUTE MYELOID LEUKEMIA (AML) IN ADULTS WITH AN IDH2 MUTATION.","EFO_0000222","EFO"
"BiomarkerKG-1738472582","ADVANCED UROTHELIAL CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-622383070","SOLID TUMOR","Orphanet_84","Orphanet"
"BiomarkerKG-239734061","UROTHELIAL CARCINOMA","EFO_0008528","EFO"
"BiomarkerKG-1869766997","DEPRESSION","EFO_0003761","EFO"
"BiomarkerKG-978387120","VASOMOTOR DISEASE","EFO_0003782","EFO"
"BiomarkerKG-998821726","DUCHENNE MUSCULAR DYSTROPHY","Orphanet_98896","Orphanet"
"BiomarkerKG363506879","SKIN CANCER","MONDO_0002898","MONDO"
"BiomarkerKG-23249570","MYELOMATOSIS","EFO_0001378","EFO"
"BiomarkerKG1859447834","AGGRESSIVE SYSTEMIC MASTOCYTOSIS","EFO_0000618","EFO"
"BiomarkerKG1151651722","MYELODYSPLASTIC","MONDO_0020077","MONDO"
"BiomarkerKG-1147713356","HYPEREOSINOPHILIC SYNDROME (HES) AND","EFO_0004842","EFO"
"BiomarkerKG166414512","ASTHMA","EFO_0000270","EFO"
"BiomarkerKG-539500812","FAP(FAMILIAL AMYLOID POLYNEUROPATHY)","EFO_0002945","EFO"
"BiomarkerKG-848100356","MELANOMA","EFO_0000756","EFO"
"BiomarkerKG1476229835","ANGINA","EFO_0003913","EFO"
"BiomarkerKG637500005","LEUKEMIA","EFO_0000565","EFO"
"BiomarkerKG-726641820","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG496745715","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG453634129","ABNORMAL NTRK GENE CAUSES CERTAIN TUMORS","EFO_0000294","EFO"
"BiomarkerKG679917283","ACUTE MYELOID LEUKEMIA","EFO_1000068","EFO"
"BiomarkerKG-49333377","ACUTE MYELOID LEUKEMIA","EFO_1000068","EFO"
"BiomarkerKG1030127933","FABRY DISEASE","Orphanet_324","Orphanet"
"BiomarkerKG-280478680","CALM MUSCLES DURING SURGERY","MONDO_0003939","MONDO"
"BiomarkerKG2104942858","RGAN REJECTION AFTER A KIDNEY TRANSPLANT","EFO_0003086","EFO"
"BiomarkerKG-1086936591","SPINAL MUSCULAR ATROPHY","EFO_0008525","EFO"
"BiomarkerKG-558455940","LEUKEMIA","EFO_0009119","EFO"
"BiomarkerKG489011798","OVARIAN CANCER","EFO_0000311","EFO"
"BiomarkerKG1388758583","SOFT TISSUE SARCOMA","EFO_1001968","EFO"
"BiomarkerKG1323391694","CONTROL LOW BLOOD CALCIUM LEVELS IN PEOPLE WHO HAVE LOW BLOOD PARATHYROID HORMONE LEVELS","EFO_0007937","EFO"
"BiomarkerKG794218917","CHRONIC HEPATITIS","EFO_0008496","EFO"
"BiomarkerKG-1790679122","ATHEROSCLEROSIS","EFO_0003914","EFO"
"BiomarkerKG149207443","OVARIAN CANCER","MONDO_0008170","MONDO"
"BiomarkerKG-1053117702","COLITIS (UC)","EFO_0003872","EFO"
"BiomarkerKG1944943287","EPILEPSY","EFO_0000474","EFO"
"BiomarkerKG1127858044","LEUCOCYTHEMIA","EFO_0000222","EFO"
"BiomarkerKG-1962047831","LEUCOCYTHEMIA","EFO_0000222","EFO"
"BiomarkerKG-357946721","VENOUS THROMBOEMBOLIC DISEASE (VTE)","EFO_0004260","EFO"
"BiomarkerKG2028368899","VENOUS THROMBOEMBOLIC DISEASE (VTE)","EFO_0004260","EFO"
"BiomarkerKG313586149","VENOUS THROMBOEMBOLIC DISEASE (VTE)","EFO_0004260","EFO"
"BiomarkerKG-2104469395","ENZYME DEFICIENCY","Orphanet_309005","Orphanet"
"BiomarkerKG1514699161","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1435553749","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1899271805","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG809776760","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1915782920","RECURRENT BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-156769428","BREAST CANCER (I-II)","MONDO_0007254","MONDO"
"BiomarkerKG-1013990068","BREAST CANCER (STAGE II-III)","MONDO_0007254","MONDO"
"BiomarkerKG-447481596","BREAST CANCER (I-II)","MONDO_0007254","MONDO"
"BiomarkerKG-859329038","METASTATIC BREAST CANCER (III-IV)","MONDO_0007254","MONDO"
"BiomarkerKG687053448","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-889764113","LOCALLY ADVANCED OR METASTATIC LUMINAL B BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-103720969","BREAST CANCER (I-III)","MONDO_0007254","MONDO"
"BiomarkerKG-1504794440","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1827935371","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1686449390","NON-METASTATIC INVASIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-435072881","BREAST NEOPLASMS","MONDO_0007254","MONDO"
"BiomarkerKG1596444665","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-316459000","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1503939067","LOCALLY RECURRENT OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-2032842044","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG276424285","BREAST CANCER (I-III)","MONDO_0007254","MONDO"
"BiomarkerKG1623818552","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-627703212","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1795461556","BREAST NEOPLASM","EFO_0003869","EFO"
"BiomarkerKG1649159632","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1239420556","METASTATIC OR LOCALLY ADVANCED UNRESECTABLE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-2135616330","ADVANCED TRIPLE-NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG2061889424","POSTMENOPAUSAL ADVANCED METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG905609745","BREAST CANCER (II-IIIB)","MONDO_0007254","MONDO"
"BiomarkerKG345427327","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG702885081","UNRESECTABLE LOCALLY ADVANCED OR METASTATIC  BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1430355371","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1139236655","METASTATIC OR LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1505390240","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-2093307115","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG729598124","EARLY OR LOCALLY ADVANCED BREAST CANCER (II-III)","MONDO_0007254","MONDO"
"BiomarkerKG-1616092040","METASTATIC MALIGNANT NEOPLASM IN THE CHEST WALL","EFO_1000051","EFO"
"BiomarkerKG-226063560","BREAST CANCER STAGE IV","MONDO_0007254","MONDO"
"BiomarkerKG-601099740","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-274333150","METASTATIC OR LOCALLY RECURRENT INOPERABLE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG921194961","EARLY STAGE TRIPLE-NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1540813963","LOCOREGIONALLY RECURRENT OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1068866669","LOCALLY ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1471164927","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-57313394","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-617297347","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-891847787","EARLY OR LOCALLY ADVANCED BREAST CANCER (II-III)","MONDO_0007254","MONDO"
"BiomarkerKG1568508684","ADVANCED TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG551843489","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1477271139","ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG285317920","ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-482905584","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1661914186","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1814161762","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-437004938","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1110084195","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1364396589","RESECTABLE PRIMARY TRIPLE NEGATIVE BREAST CANCER (STAGE I-III)","MONDO_0007254","MONDO"
"BiomarkerKG-1448510916","INFLAMMATORY TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-2022083316","INFLAMMATORY BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG356324322","LOCALLY ADVANCED BREAST CANCER (II-III)","MONDO_0007254","MONDO"
"BiomarkerKG-104675348","TRIPLE NEGATIVE INVASIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1384231495","VISCERAL METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG34334946","METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1946912801","METASTATIC TRIPLE-NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1577117464","ERBB2-POSITIVE BREAST CANCER BRAIN METASTASES","MONDO_0007254","MONDO"
"BiomarkerKG-2085566364","BREAST CANCER (STAGE I-III)","MONDO_0007254","MONDO"
"BiomarkerKG-1363681835","PRIMARY INVASIVE BREAST CANCER AND CLINICAL STAGE I - III","MONDO_0007254","MONDO"
"BiomarkerKG-1494023734","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1251372237","BREAST CANCER STAGE (STAGE IV)","MONDO_0007254","MONDO"
"BiomarkerKG-153611909","BREAST CANCER FEMALE","MONDO_0007254","MONDO"
"BiomarkerKG351003137","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1579678160","BREAST CANCER STAGE (STAGE II-III)","MONDO_0007254","MONDO"
"BiomarkerKG118603023","EARLY-STAGE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1189074014","BREAST CANCER METASTATIC","MONDO_0007254","MONDO"
"BiomarkerKG-388096993","METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1874182044","INVASIVE BREAST CARCINOMA","EFO_1000307","EFO"
"BiomarkerKG2087957969","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1644765431","TNBC BREAST CANCER  (STAGE I-III)","MONDO_0007254","MONDO"
"BiomarkerKG-262451806","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1083648118","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-225817822","ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-2009160467","TNBC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1723002468","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-604627963","NON-METASTATIC PRIMARY LUMINAL BREAST CANCER (STAGE II-III)","MONDO_0007254","MONDO"
"BiomarkerKG-1030601521","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG138689674","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG397892956","TNBC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG721208190","PREMENOPAUSAL OR PERIMENOPAUSAL LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1288315268","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-2056951534","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1897970195","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG996483862","RECURRENT OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1884678499","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1863117410","STAGE IV METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG289580844","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-2074888963","RECURRENT BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1360761977","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1586324685","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1645794555","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1304175737","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1019298398","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG67951044","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG1857107666","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG735236579","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-800369839","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-835107575","ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-293355652","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1189924932","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1632658776","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG358990573","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1876496357","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-33556113","LOCALLY ADVANCED","EFO_0005856","EFO"
"BiomarkerKG-599028211","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1688452319","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-453264115","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1503610555","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG179888471","LUMINAL B BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1995732573","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1739611934","ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-915701665","LOCALLY ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-689338926","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-975392028","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG2065001521","ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-170542798","METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-743019303","METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG302277995","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-635888986","STAGE IV TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-544075815","ADVANCED INVASIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-820225238","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-10442632","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1944338472","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-1575067713","BREAST DUCTAL CARCINOMA IN SITU","EFO_0000432","EFO"
"BiomarkerKG-1945881394","EARLY STAGE TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1955995515","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG1825741352","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG156569843","STAGE IIB-III TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-179581873","LOCALIZED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1062210253","LOCALIZED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG2095042473","REFRACTORY OR RELAPSED TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1855863757","EARLY BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1193506727","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-563823741","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1689293800","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1323565151","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG3321966","METASTATIC TRIPLE NEGATIVE BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1410798894","LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-37577398","INVASIVE DUCTAL BREAST CANCER (STAGES I-III)","EFO_0000186","EFO"
"BiomarkerKG214156408","LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1059450097","INVASIVE TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG-1378819185","METASTATIC BREAST CANCER","EFO_1000984","EFO"
"BiomarkerKG-323468877","LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1064188360","LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1254885361","LOCALLY ADVANCED BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1702088471","UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG535034914","UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG716117938","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG107230865","TRIPLE NEGATIVE BREAST CANCER","EFO_0005537","EFO"
"BiomarkerKG2139946516","RECURRENT OR METASTATIC HEPATOCELLULAR CARCINOMA","EFO_0000702","EFO"
"BiomarkerKG-1142743362","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG2027096547","HEPATOCELLULAR CARCINOMA (IIIB-IV)","EFO_0000707","EFO"
"BiomarkerKG683286200","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG440468617","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG329189688","ADVANCED UNRESECTABLE HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG1352760165","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC COMBINED HEPATOCELLULAR-CHOLANGIOCARCINOMA","EFO_0009260","EFO"
"BiomarkerKG1751026797","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-1685288106","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG626426273","LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR CARINOMA","EFO_0009709","EFO"
"BiomarkerKG-1504368928","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-1815733615","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-61478009","ADVANCED LIVER CANCER","MONDO_0002691","MONDO"
"BiomarkerKG1400964458","METASTATIC HEPATOCELLULAR CARCINOMA","EFO_0000702","EFO"
"BiomarkerKG936726893","ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-595661003","UNRESECTABLE LOCALLY ADVANCED OR METASTATIC HCC","EFO_0009709","EFO"
"BiomarkerKG-1250742185","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG223828977","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG-1086386656","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-1960843667","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG912675784","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG-1583497180","ADVANCED HEPATOCARCINOMA","EFO_0009260","EFO"
"BiomarkerKG1436097858","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG1088441413","METASTATIC HEPATOCELLULAR CARCINOMA","EFO_0000702","EFO"
"BiomarkerKG76141553","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG-2114961874","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG1273878690","RECURRENT HEPATOCELLULAR CARCINOMA","EFO_0000707","EFO"
"BiomarkerKG901214447","HEPATOCELLULAR CARCINOMA","EFO_0000182","EFO"
"BiomarkerKG320452314","ADVANCED HEPATOCELLULAR CARCINOMA","EFO_0009260","EFO"
"BiomarkerKG-1047036954","EARLY STAGE HEPATOCELLULAR CARCINOMA","EFO_0001663","EFO"
"BiomarkerKG1160551452","ADVANCED HEPATOCELLULAR CANCER","EFO_0000311","EFO"
"BiomarkerKG1309435194","ADVANCED HEPATOCELLULAR CANCER","EFO_0000311","EFO"
"BiomarkerKG286515678","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG1449458760","BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-338123991","BREAST CANCER BRAIN METASTASES (BCBM)","MONDO_0007254","MONDO"
